election_id,prov_code,ed_id,ed_name,cand_id,cand_name,cand_raw_party_name,party_code,elected,acclaimed,votes,place
5,BC,1,CARIBOO,1490,"REID, James",Liberal-Conservative,LibCon,t,t,,1
5,BC,2,NEW WESTMINSTER,1491,"HOMER, Joshua A.R.",Liberal-Conservative,LibCon,t,t,,1
5,BC,3,VANCOUVER,1492,"GORDON, David William",Liberal-Conservative,LibCon,t,f,455,1
5,BC,3,VANCOUVER,1493,"BUNSTER, Arthur",Unknown,Unknown,f,f,300,2
5,BC,4,VICTORIA-1,1495,"SHAKESPEARE, Noah",Conservative,Con,t,f,400,1
5,BC,4,VICTORIA-1,1496,"DE COSMOS, A.",Liberal,Lib,f,f,307,2
5,BC,4,VICTORIA-1,1494,"BOYD, Jno.",Unknown,Unknown,f,f,149,3
5,BC,5,VICTORIA-2,1498,"BAKER, E.C.",Conservative,Con,t,f,441,1
5,BC,5,VICTORIA-2,1499,"BOOTH, C.",Unknown,Unknown,f,f,241,2
5,BC,5,VICTORIA-2,1497,"FELL, Jas.",Unknown,Unknown,f,f,139,3
5,BC,6,YALE,1501,"BARNARD, F.J.",Conservative,Con,t,f,266,1
5,BC,6,YALE,1500,"ROBINSON, Jas.",Unknown,Unknown,f,f,109,2
5,BC,6,YALE,1502,"VERNON, F.G.",Unknown,Unknown,f,f,78,3
5,MB,1,LISGAR,1504,"ROSS, Arthur Wellington",Liberal-Conservative,LibCon,t,f,760,1
5,MB,1,LISGAR,1503,"SCHULTZ, John C.",Unknown,Unknown,f,f,720,2
5,MB,2,MARQUETTE,1505,"WATSON, R.",Liberal,Lib,t,f,1074,1
5,MB,2,MARQUETTE,1506,"MCDONALD, E.",Conservative,Con,f,f,886,2
5,MB,3,PROVENCHER,1507,"ROYAL, Joseph",Conservative,Con,t,t,,1
5,MB,4,SELKIRK,1509,"SUTHERLAND, Hugh",Liberal,Lib,t,f,1487,1
5,MB,4,SELKIRK,1508,"MULVEY, Stewart",Unknown,Unknown,f,f,1064,2
5,MB,5,WINNIPEG,1511,"SCOTT, Thomas",Conservative,Con,t,f,491,1
5,MB,5,WINNIPEG,1510,"CONKLIN, E.G.",Unknown,Unknown,f,f,385,2
5,MB,5,WINNIPEG,1512,"SMITH, W.O.",Unknown,Unknown,f,f,73,3
5,NB,1,ALBERT,1513,"WALLACE, John",Liberal,Lib,t,f,784,1
5,NB,1,ALBERT,1514,"ROGERS, Alex.",Liberal,Lib,f,f,723,2
5,NB,2,CARLETON,1515,"IRVINE, David",Liberal,Lib,t,f,1812,1
5,NB,2,CARLETON,1516,"LINDSAY, Wm.",Unknown,Unknown,f,f,1653,2
5,NB,3,CHARLOTTE,1517,"GILLMOR, Arthur H.",Liberal,Lib,t,f,1558,1
5,NB,3,CHARLOTTE,1518,"STEVENSON, B.R.",Unknown,Unknown,f,f,1244,2
5,NB,4,CITY AND COUNTY OF ST. JOHN-1,1520,"WELDON, Charles W.",Liberal,Lib,t,f,2225,1
5,NB,4,CITY AND COUNTY OF ST. JOHN-1,1519,"TUCK, W.H.",Unknown,Unknown,f,f,1864,2
5,NB,5,CITY AND COUNTY OF ST. JOHN-2,1522,"BURPEE, Hon. Isaac",Liberal,Lib,t,f,2459,1
5,NB,5,CITY AND COUNTY OF ST. JOHN-2,1521,"EVERETT, C.A.",Conservative,Con,f,f,1925,2
5,NB,6,CITY OF ST. JOHN,1523,"TILLEY, Sir Samuel L.",Liberal-Conservative,LibCon,t,f,1288,1
5,NB,6,CITY OF ST. JOHN,1524,"MCLEOD, George",Unknown,Unknown,f,f,1151,2
5,NB,7,GLOUCESTER,1526,"BURNS, Kennedy F.",Conservative,Con,t,f,1205,1
5,NB,7,GLOUCESTER,1525,"TURGEON, O.",Unknown,Unknown,f,f,564,2
5,NB,7,GLOUCESTER,1527,"ANGLIN, T.W.",Liberal,Lib,f,f,540,3
5,NB,8,KENT,1528,"GIROUARD, Gilbert Anselme",Liberal-Conservative,LibCon,t,f,1412,1
5,NB,8,KENT,1529,"MCINERNEY, G.V.",Liberal,Lib,f,f,773,2
5,NB,9,KING'S,1531,"FOSTER, George E.",Conservative,Con,t,f,1536,1
5,NB,9,KING'S,1530,"DOMVILLE, J.",Conservative,Con,f,f,1465,2
5,NB,10,NORTHUMBERLAND,1532,"MITCHELL, Hon. Peter",Independent,Ind,t,t,,1
5,NB,11,QUEEN'S,1534,"KING, George Gerald",Liberal,Lib,t,f,1084,1
5,NB,11,QUEEN'S,1533,"PETERS, S.L.",Unknown,Unknown,f,f,886,2
5,NB,12,RESTIGOUCHE,1536,"MOFFATT, Robert",Conservative,Con,t,f,452,1
5,NB,12,RESTIGOUCHE,1537,"MCALLISTER, J.",Unknown,Unknown,f,f,181,2
5,NB,12,RESTIGOUCHE,1535,"HADDOW, Geo.",Independent,Ind,f,f,135,3
5,NB,12,RESTIGOUCHE,1538,"RITCHIE, D.",Unknown,Unknown,f,f,88,4
5,NB,13,SUNBURY,1540,"BURPEE, Charles",Liberal,Lib,t,f,618,1
5,NB,13,SUNBURY,1539,"PERLEY, W.D.",Conservative,Con,f,f,537,2
5,NB,14,VICTORIA,1541,"COSTIGAN, Hon. John",Liberal-Conservative,LibCon,t,t,,1
5,NB,15,WESTMORLAND,1542,"WOOD, Josiah",Conservative,Con,t,f,2620,1
5,NB,15,WESTMORLAND,1543,"SMITH, Sir A.J.",Liberal,Lib,f,f,2188,2
5,NB,16,YORK,1544,"PICKARD, John J.",Independent Liberal,Ind,t,f,2359,1
5,NB,16,YORK,1545,"FRASER, J.J.",Unknown,Unknown,f,f,1442,2
5,NS,1,ANNAPOLIS,1546,"RAY, W. Hallett",Liberal,Lib,t,f,1430,1
5,NS,1,ANNAPOLIS,1547,"FITZRANDOLPH, R.E.",Unknown,Unknown,f,f,1368,2
5,NS,2,ANTIGONISH,1548,"MCISAAC, Angus",Liberal,Lib,t,f,1068,1
5,NS,2,ANTIGONISH,1549,"WHIDDEN, C.B.",Unknown,Unknown,f,f,735,2
5,NS,3,CAPE BRETON-1,1551,"DODD, Murray",Conservative,Con,t,f,1237,1
5,NS,3,CAPE BRETON-1,1550,"MACKAY, N.L.",Liberal,Lib,f,f,1013,2
5,NS,4,CAPE BRETON-2,1554,"MCDONALD, William",Conservative,Con,t,f,1297,1
5,NS,4,CAPE BRETON-2,1553,"MCLEOD, W. McK.",Liberal-Conservative,LibCon,f,f,1124,2
5,NS,4,CAPE BRETON-2,1552,"MCDOUGALL, H.F.",Liberal-Conservative,LibCon,f,f,934,3
5,NS,5,COLCHESTER,1556,"MCLELAN, Hon. A.W.",Conservative,Con,t,f,1887,1
5,NS,5,COLCHESTER,1555,"LAURENCE, F.A.",Unknown,Unknown,f,f,1452,2
5,NS,6,CUMBERLAND,1557,"TUPPER, Sir Charles",Conservative,Con,t,t,,1
5,NS,7,DIGBY,1558,"VAIL, William B.",Liberal,Lib,t,f,1123,1
5,NS,7,DIGBY,1559,"WADE, John C.",Conservative,Con,f,f,871,2
5,NS,8,GUYSBOROUGH,1560,"KIRK, John A.",Liberal,Lib,t,f,818,1
5,NS,8,GUYSBOROUGH,1561,"OGDEN, Alfred",Conservative,Con,f,f,628,2
5,NS,9,HALIFAX-1,1563,"DALY, M.B.",Liberal-Conservative,LibCon,t,f,2811,1
5,NS,9,HALIFAX-1,1562,"JONES, A.G.",Independent,Ind,f,f,2720,2
5,NS,10,HALIFAX-2,1565,"RICHEY, M.H.",Liberal-Conservative,LibCon,t,f,2785,1
5,NS,10,HALIFAX-2,1564,"FULLER, H.H.",Liberal,Lib,f,f,2563,2
5,NS,11,HANTS,1566,"ALLISON, Wm. Henry",Conservative,Con,t,f,1386,1
5,NS,11,HANTS,1567,"CURRY, Wm.",Liberal,Lib,f,f,1341,2
5,NS,12,INVERNESS,1568,"CAMERON, Hugh",Liberal-Conservative,LibCon,t,f,1912,1
5,NS,12,INVERNESS,1569,"MCDONNELL, S.",Liberal,Lib,f,f,1062,2
5,NS,13,KINGS,1570,"WOODWORTH, Douglas B.",Liberal-Conservative,LibCon,t,f,1707,1
5,NS,13,KINGS,1571,"BORDEN, F.W.",Liberal,Lib,f,f,1357,2
5,NS,14,LUNENBURG,1573,"KEEFLER, Thomas T.",Liberal,Lib,t,f,1169,1
5,NS,14,LUNENBURG,1572,"KAULBACK, C.E.",Conservative,Con,f,f,1032,2
5,NS,15,PICTOU-1,1575,"TUPPER, Charles H.",Conservative,Con,t,f,2681,1
5,NS,15,PICTOU-1,1574,"Dawson, J.A.",Liberal,Lib,f,f,2320,2
5,NS,16,PICTOU-2,1577,"MCDOUGALD, John",Liberal-Conservative,LibCon,t,f,2709,1
5,NS,16,PICTOU-2,1576,"CARMICHAEL, J.W.",Liberal,Lib,f,f,2397,2
5,NS,17,QUEENS,1578,"FORBES, James F.",Liberal,Lib,t,f,692,1
5,NS,17,QUEENS,1579,"FREEMAN, J.N.",Liberal-Conservative,LibCon,f,f,560,2
5,NS,18,RICHMOND,1580,"PAINT, Henry N.",Conservative,Con,t,f,525,1
5,NS,18,RICHMOND,1581,"FLYNN, E.P.",Liberal,Lib,f,f,461,2
5,NS,19,SHELBURNE,1582,"ROBERTSON, Thomas",Liberal,Lib,t,f,912,1
5,NS,19,SHELBURNE,1583,"WHITE, N.W.",Unknown,Unknown,f,f,775,2
5,NS,20,VICTORIA,1584,"CAMPBELL, Hon. C.J.",Conservative,Con,t,f,857,1
5,NS,20,VICTORIA,1585,"BETHUNE, Dr. J.T.",Conservative,Con,f,f,544,2
5,NS,21,YARMOUTH,1586,"KINNEY, Joseph R.",Liberal,Lib,t,f,1204,1
5,NS,21,YARMOUTH,1587,"KILLAM, Frank",Liberal,Lib,f,f,903,2
5,ON,1,ADDINGTON,1588,"BELL, John W.",Conservative,Con,t,f,1659,1
5,ON,1,ADDINGTON,1589,"AYLSWORTH, J.B.",Unknown,Unknown,f,f,1157,2
5,ON,2,ALGOMA,1590,"Dawson, Simon James",Conservative,Con,t,f,1707,1
5,ON,2,ALGOMA,1591,"MCDOUGALL, Wm.",Liberal,Lib,f,f,1112,2
5,ON,3,BOTHWELL,1592,"HAWKINS, John Joseph",Liberal-Conservative,LibCon,t,f,1520,1
5,ON,3,BOTHWELL,1593,"MILLS, Hon. David",Liberal,Lib,f,f,1504,2
5,ON,4,BRANT NORTH,1594,"SOMERVILLE, James",Liberal,Lib,t,f,1603,1
5,ON,4,BRANT NORTH,1595,"CURREY, James R.",Unknown,Unknown,f,f,652,2
5,ON,5,BRANT SOUTH,1596,"PATERSON, William",Liberal,Lib,t,f,1473,1
