election_id,prov_code,ed_id,ed_name,cand_id,cand_name,cand_raw_party_name,party_code,elected,acclaimed,votes,place
34,AB,1,ATHABASCA,24484,"SHIELDS, Jack",Progressive Conservative,PC,t,f,17248,1
34,AB,1,ATHABASCA,24485,"THORN, Ian",New Democratic Party,NDP,f,f,8911,2
34,AB,1,ATHABASCA,24486,"MEAKES, Dan",Liberal,Lib,f,f,4031,3
34,AB,1,ATHABASCA,24487,"LEBSACK, Betty",Reform Party of Canada,Reform,f,f,1781,4
34,AB,1,ATHABASCA,24488,"MIDDELKOOP, Simone",Christian Heritage Party of Canada,CHP,f,f,585,5
34,AB,1,ATHABASCA,24489,"ST. DENIS, Laurent",Communist Party of Canada,Com,f,f,104,6
34,AB,2,BEAVER RIVER,24490,"DAHMER, John",Progressive Conservative,PC,t,f,13768,1
34,AB,2,BEAVER RIVER,24491,"SEHN, E.J. Ernie",Liberal,Lib,f,f,6528,2
34,AB,2,BEAVER RIVER,24492,"LUTHER, Brian",New Democratic Party,NDP,f,f,6492,3
34,AB,2,BEAVER RIVER,24493,"GREY, Deborah C.",Reform Party of Canada,Reform,f,f,4158,4
34,AB,2,BEAVER RIVER,24494,"JOHNSTON, Les",Confederation of Regions Western Party,CRWest,f,f,131,5
34,AB,3,CALGARY CENTRE,24495,"ANDRE, Harvie",Progressive Conservative,PC,t,f,28794,1
34,AB,3,CALGARY CENTRE,24496,"HUSBAND, Elaine",New Democratic Party,NDP,f,f,10731,2
34,AB,3,CALGARY CENTRE,24497,"HAMILTON, John A.",Reform Party of Canada,Reform,f,f,6662,3
34,AB,3,CALGARY CENTRE,24498,"ROBINSON, Bob",Liberal,Lib,f,f,6280,4
34,AB,3,CALGARY CENTRE,24499,"CONRAD, Norman C.",Green Party of Canada,Grn,f,f,670,5
34,AB,3,CALGARY CENTRE,24500,"KING, John Gordon",Libertarian Party of Canada,Libtar,f,f,358,6
34,AB,3,CALGARY CENTRE,24501,"ASKIN, Marg",No affiliation to a recognised party,Ind,f,f,107,7
34,AB,4,CALGARY NORTH,24502,"JOHNSON, Al",Progressive Conservative,PC,t,f,35212,1
34,AB,4,CALGARY NORTH,24503,"SMITH, Murray",Reform Party of Canada,Reform,f,f,9889,2
34,AB,4,CALGARY NORTH,24504,"BENNETT, Jim",Liberal,Lib,f,f,7925,3
34,AB,4,CALGARY NORTH,24505,"SCHEPENS, Tom",New Democratic Party,NDP,f,f,7626,4
34,AB,4,CALGARY NORTH,24506,"ANDERSON, Elizabeth A.",Libertarian Party of Canada,Libtar,f,f,219,5
