election_id,election_date,prov_code,ed_id,ed_name,cand_id,cand_name,cand_raw_party_name,party_id,party_name,party_short_name,mainstream,votes,acclaimed,place
43,2019-10-21,AB,48001,Banff--Airdrie,39994,"Richards, Blake",Conservative,37,Conservative,Con,t,54580,f,1
43,2019-10-21,AB,48001,Banff--Airdrie,39995,"Midgley, Gwyneth",Liberal,75,Liberal,Lib,t,8216,f,2
43,2019-10-21,AB,48001,Banff--Airdrie,39996,"Wilson, Anne",NDP-New Democratic Party,100,New Democratic Party,NDP,t,7960,f,3
43,2019-10-21,AB,48001,Banff--Airdrie,39997,"Mullins, Austin",Green Party,50,Green Party,Grn,t,3230,f,4
43,2019-10-21,AB,48001,Banff--Airdrie,39998,"Wellwood, Nadine",People's Party,115,People's Party,PPC,f,2609,f,5
43,2019-10-21,AB,48002,Battle River--Crowfoot,39999,"Kurek, Damien",Conservative,37,Conservative,Con,t,52497,f,1
43,2019-10-21,AB,48002,Battle River--Crowfoot,40000,"Fryzuk, Natasha",NDP-New Democratic Party,100,New Democratic Party,NDP,t,3089,f,2
43,2019-10-21,AB,48002,Battle River--Crowfoot,40001,"Clarke, Dianne",Liberal,75,Liberal,Lib,t,2485,f,3
43,2019-10-21,AB,48002,Battle River--Crowfoot,40002,"Nelson, Geordie",Green Party,50,Green Party,Grn,t,1750,f,4
43,2019-10-21,AB,48002,Battle River--Crowfoot,40003,"Michaud, David A.",People's Party,115,People's Party,PPC,f,1583,f,5
43,2019-10-21,AB,48003,Bow River,40004,"Shields, Martin",Conservative,37,Conservative,Con,t,45691,f,1
43,2019-10-21,AB,48003,Bow River,40005,"Rhemtulla, Margaret",Liberal,75,Liberal,Lib,t,3104,f,2
43,2019-10-21,AB,48003,Bow River,40006,"Macwilliam, Lynn",NDP-New Democratic Party,100,New Democratic Party,NDP,t,3010,f,3
43,2019-10-21,AB,48003,Bow River,40007,"Ikert, Tom",People's Party,115,People's Party,PPC,f,1302,f,4
43,2019-10-21,AB,48003,Bow River,40008,"Tuithof de Jonge, Hendrika Maria",Green Party,50,Green Party,Grn,t,805,f,5
43,2019-10-21,AB,48003,Bow River,40009,"Lipp, Tom",Christian Heritage Party,25,Christian Heritage Party,CHP,f,445,f,6
43,2019-10-21,AB,48004,Calgary Centre,40010,"McLean, Greg",Conservative,37,Conservative,Con,t,36360,f,1
43,2019-10-21,AB,48004,Calgary Centre,40011,"Hehr, Kent",Liberal,75,Liberal,Lib,t,17199,f,2
43,2019-10-21,AB,48004,Calgary Centre,40012,"Buresi, Jessica",NDP-New Democratic Party,100,New Democratic Party,NDP,t,6290,f,3
43,2019-10-21,AB,48004,Calgary Centre,40013,"Boonlert, Thana",Green Party,50,Green Party,Grn,t,2723,f,4
43,2019-10-21,AB,48004,Calgary Centre,40014,"Johnston, Chevy",People's Party,115,People's Party,PPC,f,867,f,5
43,2019-10-21,AB,48004,Calgary Centre,40015,"Gould, Eden",Animal Protection Party,7,Animal Protection Party,AnimalPP,f,238,f,6
43,2019-10-21,AB,48004,Calgary Centre,40016,"Pewtress, Michael",Independent,52,Independent,Ind,f,135,f,7
43,2019-10-21,AB,48004,Calgary Centre,40017,"Pawlowski, Dawid",Christian Heritage Party,25,Christian Heritage Party,CHP,f,122,f,8
43,2019-10-21,AB,48005,Calgary Confederation,40018,"Webber, Len",Conservative,37,Conservative,Con,t,35648,f,1
43,2019-10-21,AB,48005,Calgary Confederation,40019,"Stein, Jordan",Liberal,75,Liberal,Lib,t,14462,f,2
43,2019-10-21,AB,48005,Calgary Confederation,40020,"Sidhu, Gurcharan Singh",NDP-New Democratic Party,100,New Democratic Party,NDP,t,7113,f,3
43,2019-10-21,AB,48005,Calgary Confederation,40021,"Odd, Natalie",Green Party,50,Green Party,Grn,t,5488,f,4
43,2019-10-21,AB,48005,Calgary Confederation,40022,"Korol, Colin",People's Party,115,People's Party,PPC,f,1117,f,5
43,2019-10-21,AB,48005,Calgary Confederation,40023,"Moen, Tim",Libertarian,81,Libertarian Party,Liber,f,401,f,6
43,2019-10-21,AB,48005,Calgary Confederation,40024,"Hunter, Kevan",ML,86,Marxist-Leninist Party,Marx-Len,f,116,f,7
43,2019-10-21,AB,48006,Calgary Forest Lawn,40025,"Hallan, Jasraj Singh",Conservative,37,Conservative,Con,t,23585,f,1
43,2019-10-21,AB,48006,Calgary Forest Lawn,40026,"Anand, Jag",Liberal,75,Liberal,Lib,t,8537,f,2
43,2019-10-21,AB,48006,Calgary Forest Lawn,40027,"Pimlott, Joe",NDP-New Democratic Party,100,New Democratic Party,NDP,t,4133,f,3
43,2019-10-21,AB,48006,Calgary Forest Lawn,40028,"Carnegie, William",Green Party,50,Green Party,Grn,t,1282,f,4
43,2019-10-21,AB,48006,Calgary Forest Lawn,40029,"Levesque, Dave",People's Party,115,People's Party,PPC,f,1069,f,5
43,2019-10-21,AB,48006,Calgary Forest Lawn,40030,"Nichols, Brent",Independent,52,Independent,Ind,f,385,f,6
43,2019-10-21,AB,48006,Calgary Forest Lawn,40031,"Sutherland, Esther",Christian Heritage Party,25,Christian Heritage Party,CHP,f,219,f,7
43,2019-10-21,AB,48006,Calgary Forest Lawn,40032,"Trautman, Jonathan",Communist,31,Communist Party,Com,f,134,f,8
43,2019-10-21,AB,48006,Calgary Forest Lawn,40033,"Ryder, William James",VCP,167,Veterans Coalition,VetsCoal,f,87,f,9
43,2019-10-21,AB,48007,Calgary Heritage,40034,"Benzen, Bob",Conservative,37,Conservative,Con,t,39098,f,1
43,2019-10-21,AB,48007,Calgary Heritage,40035,"Forsyth, Scott",Liberal,75,Liberal,Lib,t,7671,f,2
43,2019-10-21,AB,48007,Calgary Heritage,40036,"Heffernan, Holly",NDP-New Democratic Party,100,New Democratic Party,NDP,t,5038,f,3
43,2019-10-21,AB,48007,Calgary Heritage,40037,"Tulick, Allie",Green Party,50,Green Party,Grn,t,1917,f,4
43,2019-10-21,AB,48007,Calgary Heritage,40038,"Hoeppner, Stephanie",People's Party,115,People's Party,PPC,f,1076,f,5
43,2019-10-21,AB,48007,Calgary Heritage,40039,"Mills, Hunter",Independent,52,Independent,Ind,f,221,f,6
43,2019-10-21,AB,48007,Calgary Heritage,40040,"Heather, Larry R.",Christian Heritage Party,25,Christian Heritage Party,CHP,f,181,f,7
43,2019-10-21,AB,48008,Calgary Midnapore,40041,"Kusie, Stephanie",Conservative,37,Conservative,Con,t,49700,f,1
43,2019-10-21,AB,48008,Calgary Midnapore,40042,"Aalto, Brian",Liberal,75,Liberal,Lib,t,7320,f,2
43,2019-10-21,AB,48008,Calgary Midnapore,40043,"Bhachu, Gurmit",NDP-New Democratic Party,100,New Democratic Party,NDP,t,6193,f,3
43,2019-10-21,AB,48008,Calgary Midnapore,40044,"Stasila, Taylor",Green Party,50,Green Party,Grn,t,1942,f,4
43,2019-10-21,AB,48008,Calgary Midnapore,40045,"Gao, Edward",People's Party,115,People's Party,PPC,f,1562,f,5
43,2019-10-21,AB,48009,Calgary Nose Hill,40046,"Rempel, Michelle",Conservative,37,Conservative,Con,t,37950,f,1
43,2019-10-21,AB,48009,Calgary Nose Hill,40047,"Tsang, Josephine",Liberal,75,Liberal,Lib,t,8606,f,2
43,2019-10-21,AB,48009,Calgary Nose Hill,40048,"King, Patrick",NDP-New Democratic Party,100,New Democratic Party,NDP,t,5107,f,3
43,2019-10-21,AB,48009,Calgary Nose Hill,40049,"Grossé, Jocelyn",Green Party,50,Green Party,Grn,t,1478,f,4
43,2019-10-21,AB,48009,Calgary Nose Hill,40050,"Lorencz, Kelly",People's Party,115,People's Party,PPC,f,1073,f,5
43,2019-10-21,AB,48009,Calgary Nose Hill,40051,"Askin, Peggy",ML,86,Marxist-Leninist Party,Marx-Len,f,67,f,6
43,2019-10-21,AB,48010,Calgary Rocky Ridge,40052,"Kelly, Pat",Conservative,37,Conservative,Con,t,47477,f,1
43,2019-10-21,AB,48010,Calgary Rocky Ridge,40053,"Kathol, Todd",Liberal,75,Liberal,Lib,t,12694,f,2
43,2019-10-21,AB,48010,Calgary Rocky Ridge,40054,"LeBlanc Fortin, Nathan",NDP-New Democratic Party,100,New Democratic Party,NDP,t,5869,f,3
43,2019-10-21,AB,48010,Calgary Rocky Ridge,40055,"Wright, Catriona",Green Party,50,Green Party,Grn,t,1927,f,4
43,2019-10-21,AB,48010,Calgary Rocky Ridge,40056,"Poulin, Tyler",People's Party,115,People's Party,PPC,f,1026,f,5
43,2019-10-21,AB,48010,Calgary Rocky Ridge,40057,"Wang, Shaoli",Independent,52,Independent,Ind,f,265,f,6
43,2019-10-21,AB,48011,Calgary Shepard,40058,"Kmiec, Tom",Conservative,37,Conservative,Con,t,57793,f,1
43,2019-10-21,AB,48011,Calgary Shepard,40059,"Arnold, Del",Liberal,75,Liberal,Lib,t,8461,f,2
43,2019-10-21,AB,48011,Calgary Shepard,40060,"Smith, David Brian",NDP-New Democratic Party,100,New Democratic Party,NDP,t,6639,f,3
43,2019-10-21,AB,48011,Calgary Shepard,40061,"Tanaka, Evelyn",Green Party,50,Green Party,Grn,t,2273,f,4
43,2019-10-21,AB,48011,Calgary Shepard,40062,"Scott, Kyle",People's Party,115,People's Party,PPC,f,1719,f,5
43,2019-10-21,AB,48012,Calgary Signal Hill,40063,"Liepert, Ron",Conservative,37,Conservative,Con,t,43535,f,1
43,2019-10-21,AB,48012,Calgary Signal Hill,40064,"Alatrash, Ghada",Liberal,75,Liberal,Lib,t,9370,f,2
43,2019-10-21,AB,48012,Calgary Signal Hill,40065,"Ahmed, Khalis",NDP-New Democratic Party,100,New Democratic Party,NDP,t,5121,f,3
43,2019-10-21,AB,48012,Calgary Signal Hill,40066,"Reid, Marco",Green Party,50,Green Party,Grn,t,2044,f,4
43,2019-10-21,AB,48012,Calgary Signal Hill,40067,"Squire, Gord",People's Party,115,People's Party,PPC,f,1100,f,5
43,2019-10-21,AB,48012,Calgary Signal Hill,40068,"Bassett, Christina",Parti Rhinocéros Party,138,Rhinoceros Party,Rhino,f,505,f,6
43,2019-10-21,AB,48012,Calgary Signal Hill,40069,"Dirk, Garry",Christian Heritage Party,25,Christian Heritage Party,CHP,f,195,f,7
43,2019-10-21,AB,48013,Calgary Skyview,40070,"Sahota, Jag",Conservative,37,Conservative,Con,t,26193,f,1
43,2019-10-21,AB,48013,Calgary Skyview,40071,"Naidoo, Nirmala",Liberal,75,Liberal,Lib,t,14134,f,2
43,2019-10-21,AB,48013,Calgary Skyview,40072,"Gill, Gurinder Singh",NDP-New Democratic Party,100,New Democratic Party,NDP,t,7414,f,3
43,2019-10-21,AB,48013,Calgary Skyview,40073,"Knutson, Signe",Green Party,50,Green Party,Grn,t,781,f,4
43,2019-10-21,AB,48013,Calgary Skyview,40074,"Dhillon, Harry",People's Party,115,People's Party,PPC,f,584,f,5
43,2019-10-21,AB,48013,Calgary Skyview,40075,"Alexander, Joseph",Christian Heritage Party,25,Christian Heritage Party,CHP,f,508,f,6
43,2019-10-21,AB,48013,Calgary Skyview,40076,"Dawar, Harpreet Singh",CFF - Canada's Fourth Front,14,CFF - Canada's Fourth Front,FourthFront,f,133,f,7
43,2019-10-21,AB,48013,Calgary Skyview,40077,"Blanchard, Daniel",ML,86,Marxist-Leninist Party,Marx-Len,f,127,f,8
43,2019-10-21,AB,48014,Edmonton Centre,40078,"Cumming, James",Conservative,37,Conservative,Con,t,21586,f,1
43,2019-10-21,AB,48014,Edmonton Centre,40079,"Boissonnault, Randy",Liberal,75,Liberal,Lib,t,17000,f,2
43,2019-10-21,AB,48014,Edmonton Centre,40080,"Swampy, Katherine",NDP-New Democratic Party,100,New Democratic Party,NDP,t,10659,f,3
43,2019-10-21,AB,48014,Edmonton Centre,40081,"Murray, Grad",Green Party,50,Green Party,Grn,t,1332,f,4
