election_id,prov_code,ed_id,ed_name,AntiConfed,Con,Lib,Other,PC,1st,2nd,3rd
1,NB,1,"ALBERT",,,778,714,,Lib,Other,AntiConfed
1,NB,2,"CARLETON",,,,,,Other,AntiConfed,Con
1,NB,3,"CHARLOTTE",,,1214,918,,Lib,Other,AntiConfed
1,NB,4,"CITY AND COUNTY OF ST. JOHN",,,,,,Other,AntiConfed,Con
1,NB,5,"CITY OF ST. JOHN",,,,610,1402,PC,Other,AntiConfed
1,NB,6,"GLOUCESTER",,,1061,671,,Lib,Other,AntiConfed
1,NB,7,"KENT",,,876,1246,,Other,Lib,AntiConfed
1,NB,8,"KING'S",,,1303,1083,,Lib,Other,AntiConfed
1,NB,9,"NORTHUMBERLAND",,,1226,757,,Lib,Other,AntiConfed
1,NB,10,"QUEEN'S",,,,,,Other,AntiConfed,Con
1,NB,11,"RESTIGOUCHE",,,370,259,,Lib,Other,AntiConfed
1,NB,12,"SUNBURY",,,664,425,,Lib,Other,AntiConfed
1,NB,13,"VICTORIA",,,,565,778,PC,Other,AntiConfed
1,NB,14,"WESTMORLAND",,,2207,454,,Lib,Other,AntiConfed
1,NB,15,"YORK",,,,,,Other,AntiConfed,Con
1,NS,16,"ANNAPOLIS",1171,1016,,,,AntiConfed,Con,Other
1,NS,17,"ANTIGONISH",1238,390,,,,AntiConfed,Con,Other
1,NS,18,"CAPE BRETON",,,,,,Other,AntiConfed,Con
1,NS,19,"COLCHESTER",1649,,,,1289,AntiConfed,PC,Other
1,NS,20,"CUMBERLAND",1271,1368,,,,Con,AntiConfed,Other
1,NS,21,"DIGBY",792,,,859,,Other,AntiConfed,Con
1,NS,22,"GUYSBOROUGH",,,,,,Other,AntiConfed,Con
1,NS,23,"HALIFAX-1",2367,,,2154,,AntiConfed,Other,Con
1,NS,24,"HALIFAX-2",2381,,,2158,,AntiConfed,Other,Con
1,NS,25,"HANTS",1530,,,956,,AntiConfed,Other,Con
1,NS,26,"INVERNESS",1186,601,,,,AntiConfed,Con,Other
1,NS,27,"KINGS",1472,,,659,,AntiConfed,Other,Con
