election_id,prov_code,ed_id,ed_name,Con,Lib,Other,PC,1st,2nd,3rd
6,BC,1,"CARIBOO",,105,,145,PC,Lib,Other
6,BC,2,"NEW WESTMINSTER",771,,,,Con,Other,Lib
6,BC,3,"VANCOUVER",465,,,713,PC,Con,Other
6,BC,4,"VICTORIA-1",632,245,394,,Con,Other,Lib
6,BC,5,"VICTORIA-2",548,253,327,,Con,Other,Lib
6,BC,6,"YALE",,,,,Other,Con,Lib
6,MB,7,"LISGAR",,,,,Other,Con,Lib
6,MB,8,"MARQUETTE",2090,2148,,,Lib,Con,Other
6,MB,9,"PROVENCHER",1081,,778,,Con,Other,Lib
6,MB,10,"SELKIRK",,2608,,2787,PC,Lib,Other
6,MB,11,"WINNIPEG",1754,1746,,,Con,Lib,Other
6,NB,12,"ALBERT",1047,923,,,Con,Lib,Other
6,NB,13,"CARLETON",,1243,,2362,PC,Lib,Other
6,NB,14,"CHARLOTTE",1811,1892,,,Lib,Con,Other
6,NB,15,"CITY AND COUNTY OF ST. JOHN-1",,4063,3628,,Lib,Other,Con
6,NB,16,"CITY AND COUNTY OF ST. JOHN-2",3840,4136,,,Lib,Con,Other
6,NB,17,"CITY OF ST. JOHN",2162,2375,,,Lib,Con,Other
6,NB,18,"GLOUCESTER",1908,1492,,,Con,Lib,Other
6,NB,19,"KENT",1765,1414,,,Con,Lib,Other
6,NB,20,"KING'S",2237,,1762,,Con,Other,Lib
6,NB,21,"NORTHUMBERLAND",1525,,2271,,Other,Con,Lib
6,NB,22,"QUEEN'S",1130,1191,,,Lib,Con,Other
6,NB,23,"RESTIGOUCHE",420,,570,,Other,Con,Lib
6,NB,24,"SUNBURY",588,555,,,Con,Lib,Other
6,NB,25,"VICTORIA",,978,,1286,PC,Lib,Other
6,NB,26,"WESTMORLAND",3252,2710,,,Con,Lib,Other
6,NB,27,"YORK",2172,1768,,,Con,Lib,Other
6,NS,28,"ANNAPOLIS",1758,1730,,,Con,Lib,Other
6,NS,29,"ANTIGONISH",,1207,,1247,PC,Lib,Other
6,NS,30,"CAPE BRETON-1",1873,2774,,,Lib,Con,Other
6,NS,31,"CAPE BRETON-2",,,2040,1883,Other,PC,Con
6,NS,32,"COLCHESTER",2446,1819,,,Con,Lib,Other
6,NS,33,"CUMBERLAND",2788,2120,206,,Con,Lib,Other
6,NS,34,"DIGBY",1459,1364,,,Con,Lib,Other
6,NS,35,"GUYSBOROUGH",784,1136,,,Lib,Con,Other
6,NS,36,"HALIFAX-1",8280,,,,Con,Other,Lib
6,NS,37,"HALIFAX-2",,8341,,,Lib,Other,Con
6,NS,38,"HANTS",1800,1678,,,Con,Lib,Other
6,NS,39,"INVERNESS",1913,1462,,,Con,Lib,Other
6,NS,40,"KINGS",,1970,,1522,Lib,PC,Other
6,NS,41,"LUNENBURG",2308,2430,,,Lib,Con,Other
6,NS,42,"PICTOU-1",2923,,,3413,PC,Con,Other
6,NS,43,"PICTOU-2",3334,,2739,,Con,Other,Lib
6,NS,44,"QUEENS",,809,,824,PC,Lib,Other
6,NS,45,"RICHMOND",609,910,317,,Lib,Con,Other
6,NS,46,"SHELBURNE",1160,1194,,,Lib,Con,Other
6,NS,47,"VICTORIA",830,777,,,Con,Lib,Other
6,NS,48,"YARMOUTH",,3052,21,,Lib,Other,Con
6,NT,49,"ALBERTA (PROVISIONAL DISTRICT)",1037,235,783,,Con,Other,Lib
6,NT,50,"ASSINIBOIA EAST",1736,1010,,,Con,Lib,Other
