election_id,prov_code,ed_id,ed_name,Gov,OppConscript,Other,1st,2nd,3rd
13,AB,1,"BATTLE RIVER",5733,4195,,Gov,OppConscript,Other
13,AB,2,"BOW RIVER",3757,2996,1765,Gov,OppConscript,Other
13,AB,3,"CALGARY WEST",10986,4015,,Gov,OppConscript,Other
13,AB,4,"EAST CALGARY",8363,,3911,Gov,Other,OppConscript
13,AB,5,"EDMONTON EAST",6775,4122,,Gov,OppConscript,Other
13,AB,6,"EDMONTON WEST",9637,6939,,Gov,OppConscript,Other
13,AB,7,"LETHBRIDGE",5302,,2468,Gov,Other,OppConscript
13,AB,8,"MACLEOD",5128,2610,950,Gov,OppConscript,Other
13,AB,9,"MEDICINE HAT",6869,3568,460,Gov,OppConscript,Other
13,AB,10,"RED DEER",6213,3800,701,Gov,OppConscript,Other
13,AB,11,"STRATHCONA",5777,3178,,Gov,OppConscript,Other
13,AB,12,"VICTORIA",3372,3626,602,OppConscript,Gov,Other
13,BC,13,"BURRARD",12566,4707,1744,Gov,OppConscript,Other
13,BC,14,"CARIBOO",6010,2804,,Gov,OppConscript,Other
13,BC,15,"COMOX--ALBERNI",3652,2162,,Gov,OppConscript,Other
13,BC,16,"KOOTENAY EAST",3398,1549,434,Gov,OppConscript,Other
13,BC,17,"KOOTENAY WEST",5377,1735,1399,Gov,OppConscript,Other
13,BC,18,"NANAIMO",9175,1976,1344,Gov,OppConscript,Other
13,BC,19,"NEW WESTMINSTER",7380,2882,,Gov,OppConscript,Other
13,BC,20,"SKEENA",2806,2111,,Gov,OppConscript,Other
13,BC,21,"VANCOUVER CENTRE",13722,5543,992,Gov,OppConscript,Other
13,BC,22,"VANCOUVER SOUTH",6890,2462,1226,Gov,OppConscript,Other
13,BC,23,"VICTORIA CITY",11365,2601,551,Gov,OppConscript,Other
13,BC,24,"WESTMINSTER DISTRICT",4074,1792,,Gov,OppConscript,Other
13,BC,25,"YALE",,,,Other,Gov,OppConscript
13,MB,26,"BRANDON",11465,1329,,Gov,OppConscript,Other
13,MB,27,"DAUPHIN",,,,Other,Gov,OppConscript
13,MB,28,"LISGAR",3834,613,,Gov,OppConscript,Other
13,MB,29,"MACDONALD",5327,1561,,Gov,OppConscript,Other
13,MB,30,"MARQUETTE",8672,1152,,Gov,OppConscript,Other
13,MB,31,"NEEPAWA",5102,2046,,Gov,OppConscript,Other
13,MB,32,"NELSON",,,,Other,Gov,OppConscript
13,MB,33,"PORTAGE LA PRAIRIE",4611,976,,Gov,OppConscript,Other
13,MB,34,"PROVENCHER",1850,2035,,OppConscript,Gov,Other
