election_id,prov_code,ed_id,ed_name,Con,Lib,Other,Progressive,1st,2nd,3rd
16,AB,1,"ACADIA",1803,,7041,,Other,Con,Lib
16,AB,2,"ATHABASKA",,2770,4870,,Other,Lib,Con
16,AB,3,"BATTLE RIVER",1985,,5597,,Other,Con,Lib
16,AB,4,"BOW RIVER",3028,,5144,,Other,Con,Lib
16,AB,5,"CALGARY EAST",5132,,6870,,Other,Con,Lib
16,AB,6,"CALGARY WEST",8951,6502,,,Con,Lib,Other
16,AB,7,"CAMROSE",,3490,5100,,Other,Lib,Con
16,AB,8,"EDMONTON EAST",4925,5090,1441,,Lib,Con,Other
16,AB,9,"EDMONTON WEST",5772,7223,,,Lib,Con,Other
16,AB,10,"LETHBRIDGE",3435,,5138,,Other,Con,Lib
16,AB,11,"MACLEOD",3465,,6840,,Other,Con,Lib
16,AB,12,"MEDICINE HAT",2226,4206,2081,,Lib,Con,Other
16,AB,13,"PEACE RIVER",4398,2642,5323,,Other,Con,Lib
16,AB,14,"RED DEER",2151,,5603,,Other,Con,Lib
16,AB,15,"VEGREVILLE",,,7484,,Other,Con,Lib
16,AB,16,"WETASKIWIN",2243,3150,3897,,Other,Lib,Con
16,BC,17,"CARIBOO",7200,6386,,,Con,Lib,Other
16,BC,18,"COMOX--ALBERNI",2831,,4492,,Other,Con,Lib
16,BC,19,"FRASER VALLEY",6217,4117,,,Con,Lib,Other
16,BC,20,"KOOTENAY EAST",3272,3547,1444,,Lib,Con,Other
16,BC,21,"KOOTENAY WEST",6247,5257,,,Con,Lib,Other
16,BC,22,"NANAIMO",10464,5274,,,Con,Lib,Other
16,BC,23,"NEW WESTMINSTER",8624,6384,3533,,Con,Lib,Other
16,BC,24,"SKEENA",4170,3849,,,Con,Lib,Other
16,BC,25,"VANCOUVER CENTRE",10326,8471,527,,Con,Lib,Other
16,BC,26,"VANCOUVER NORTH",5080,4388,1386,,Con,Lib,Other
16,BC,27,"VANCOUVER SOUTH",9762,4973,2693,,Con,Lib,Other
16,BC,28,"VANCOUVER--BURRARD",11227,7692,2012,,Con,Lib,Other
16,BC,29,"VICTORIA",6831,4051,,,Con,Lib,Other
16,BC,30,"YALE",7815,3928,,,Con,Lib,Other
16,MB,31,"BRANDON",7101,,8267,,Other,Con,Lib
16,MB,32,"DAUPHIN",5502,,7260,,Other,Con,Lib
16,MB,33,"LISGAR",3790,,4657,,Other,Con,Lib
16,MB,34,"MACDONALD",4306,,,6652,Progressive,Con,Other
16,MB,35,"MARQUETTE",6235,,7327,,Other,Con,Lib
16,MB,36,"NEEPAWA",4495,,,6293,Progressive,Con,Other
16,MB,37,"NELSON",2632,,,3042,Progressive,Con,Other
16,MB,38,"PORTAGE LA PRAIRIE",5966,6394,,,Lib,Con,Other
16,MB,39,"PROVENCHER",,,,,Other,Con,Lib
16,MB,40,"SELKIRK",5104,,7016,,Other,Con,Lib
16,MB,41,"SOURIS",4946,,,6105,Progressive,Con,Other
16,MB,42,"SPRINGFIELD",2638,,5227,,Other,Con,Lib
16,MB,43,"ST. BONIFACE",3235,5903,2427,,Lib,Con,Other
16,MB,44,"WINNIPEG NORTH",3555,2821,6171,,Other,Con,Lib
16,MB,45,"WINNIPEG NORTH CENTRE",4220,,7221,,Other,Con,Lib
16,MB,46,"WINNIPEG SOUTH",7638,8809,,,Lib,Con,Other
16,MB,47,"WINNIPEG SOUTH CENTRE",11737,12315,,,Lib,Con,Other
16,NB,48,"CHARLOTTE",4967,3677,,,Con,Lib,Other
16,NB,49,"GLOUCESTER",6333,7992,,,Lib,Con,Other
16,NB,50,"KENT",4173,4799,,,Lib,Con,Other
16,NB,51,"NORTHUMBERLAND",5687,6201,,,Lib,Con,Other
16,NB,52,"RESTIGOUCHE--MADAWASKA",6850,9033,,,Lib,Con,Other
16,NB,53,"ROYAL",7266,5973,,,Con,Lib,Other
16,NB,54,"ST. JOHN--ALBERT-1",12310,7356,,,Con,Lib,Other
16,NB,55,"ST. JOHN--ALBERT-2",12441,8007,,,Con,Lib,Other
16,NB,56,"VICTORIA--CARLETON",7865,6764,,,Con,Lib,Other
16,NB,57,"WESTMORLAND",10737,10204,,,Con,Lib,Other
16,NB,58,"YORK--SUNBURY",8451,4459,,,Con,Lib,Other
16,NS,59,"ANTIGONISH--GUYSBOROUGH",6140,6003,,,Con,Lib,Other
16,NS,60,"CAPE BRETON NORTH--VICTORIA",6284,4691,,,Con,Lib,Other
16,NS,61,"CAPE BRETON SOUTH",8924,,6412,,Con,Other,Lib
16,NS,62,"COLCHESTER",6067,4049,,,Con,Lib,Other
16,NS,63,"CUMBERLAND",8176,6609,,,Con,Lib,Other
16,NS,64,"DIGBY--ANNAPOLIS",8159,7851,,,Con,Lib,Other
16,NS,65,"HALIFAX-1",17171,14007,,,Con,Lib,Other
16,NS,66,"HALIFAX-2",17911,14139,,,Con,Lib,Other
16,NS,67,"HANTS--KINGS",10181,10261,,,Lib,Con,Other
16,NS,68,"INVERNESS",4946,4296,,,Con,Lib,Other
16,NS,69,"PICTOU",9304,7920,,,Con,Lib,Other
16,NS,70,"QUEENS--LUNENBURG",9925,9136,,,Con,Lib,Other
16,NS,71,"RICHMOND--WEST CAPE BRETON",3769,3280,,,Con,Lib,Other
16,NS,72,"SHELBURNE--YARMOUTH",6008,7339,,,Lib,Con,Other
16,ON,73,"ALGOMA EAST",6143,,6909,,Other,Con,Lib
16,ON,74,"ALGOMA WEST",7171,,4187,,Con,Other,Lib
16,ON,75,"BRANT",4218,,4065,,Con,Other,Lib
16,ON,76,"BRANTFORD CITY",7070,5993,,,Con,Lib,Other
16,ON,77,"BRUCE NORTH",4959,5447,53,,Lib,Con,Other
16,ON,78,"BRUCE SOUTH",3504,5050,,1791,Lib,Con,Progressive
16,ON,79,"CARLETON",7415,5744,,,Con,Lib,Other
16,ON,80,"DUFFERIN--SIMCOE",8376,,5303,,Con,Other,Lib
16,ON,81,"DURHAM",6508,,5024,,Con,Other,Lib
16,ON,82,"ELGIN WEST",7742,7920,,,Lib,Con,Other
16,ON,83,"ESSEX EAST",6724,7555,,,Lib,Con,Other
16,ON,84,"ESSEX SOUTH",6761,6438,,,Con,Lib,Other
16,ON,85,"ESSEX WEST",11555,11095,,,Con,Lib,Other
16,ON,86,"FORT WILLIAM",5173,,2440,,Con,Other,Lib
16,ON,87,"FRONTENAC--ADDINGTON",7802,,,5158,Con,Progressive,Other
16,ON,88,"GLENGARRY",3749,4382,,,Lib,Con,Other
16,ON,89,"GRENVILLE--DUNDAS",8100,,,4744,Con,Progressive,Other
16,ON,90,"GREY NORTH",7042,7606,,,Lib,Con,Other
16,ON,91,"GREY SOUTHEAST",6211,,,7939,Progressive,Con,Other
16,ON,92,"HALDIMAND",5511,,,4028,Con,Progressive,Other
16,ON,93,"HALTON",6222,4308,,,Con,Lib,Other
16,ON,94,"HAMILTON EAST",13444,4477,,,Con,Lib,Other
16,ON,95,"HAMILTON WEST",10888,3665,,,Con,Lib,Other
16,ON,96,"HASTINGS SOUTH",9704,5912,,,Con,Lib,Other
16,ON,97,"HASTINGS--PETERBOROUGH",6797,2680,,,Con,Lib,Other
16,ON,98,"HURON NORTH",5547,,,5892,Progressive,Con,Other
16,ON,99,"HURON SOUTH",5217,6370,,,Lib,Con,Other
16,ON,100,"KENORA--RAINY RIVER",5016,5626,,,Lib,Con,Other
16,ON,101,"KENT",10578,12315,,,Lib,Con,Other
16,ON,102,"KINGSTON CITY",6256,4174,,,Con,Lib,Other
16,ON,103,"LAMBTON EAST",6340,,,6891,Progressive,Con,Other
16,ON,104,"LAMBTON WEST",7413,7551,,,Lib,Con,Other
16,ON,105,"LANARK",8122,,4908,,Con,Other,Lib
16,ON,106,"LEEDS",9092,7148,,,Con,Lib,Other
16,ON,107,"LINCOLN",11475,5555,,,Con,Lib,Other
16,ON,108,"LONDON",12249,11404,,,Con,Lib,Other
16,ON,109,"MIDDLESEX EAST",5701,2506,,2897,Con,Progressive,Lib
16,ON,110,"MIDDLESEX WEST",4086,6187,,,Lib,Con,Other
16,ON,111,"MUSKOKA--ONTARIO",9039,,,5757,Con,Progressive,Other
16,ON,112,"NIPISSING",8963,11587,,,Lib,Con,Other
16,ON,113,"NORFOLK--ELGIN",8512,8568,,,Lib,Con,Other
16,ON,114,"NORTHUMBERLAND",8113,7727,,,Con,Lib,Other
16,ON,115,"ONTARIO",8567,7689,,,Con,Lib,Other
16,ON,116,"OTTAWA (CITY OF)-1",21614,22950,,,Lib,Con,Other
16,ON,117,"OTTAWA (CITY OF)-2",21917,23012,,,Lib,Con,Other
16,ON,118,"OXFORD NORTH",6193,6565,,,Lib,Con,Other
