election_id,prov_code,ed_id,ed_name,CCF,Con,Lib,Other,Progressive,1st,2nd,3rd
17,AB,1,"ACADIA",,,,,,Other,CCF,Con
17,AB,2,"ATHABASKA",,2218,5504,4190,,Lib,Other,Con
17,AB,3,"BATTLE RIVER",,3927,,6874,,Other,Con,CCF
17,AB,4,"BOW RIVER",,4653,,5825,,Other,Con,CCF
17,AB,5,"CALGARY EAST",,11344,,6002,,Con,Other,CCF
17,AB,6,"CALGARY WEST",,13883,5887,,,Con,Lib,Other
17,AB,7,"CAMROSE",,,4432,6462,,Other,Lib,CCF
17,AB,8,"EDMONTON EAST",,6662,4921,3276,,Con,Lib,Other
17,AB,9,"EDMONTON WEST",,8960,9223,,,Lib,Con,Other
17,AB,10,"LETHBRIDGE",,4863,3779,,3880,Con,Progressive,Lib
17,AB,11,"MACLEOD",,6105,,6897,,Other,Con,CCF
17,AB,12,"MEDICINE HAT",,3109,6043,,,Lib,Con,Other
17,AB,13,"PEACE RIVER",,,8390,10204,,Other,Lib,CCF
17,AB,14,"RED DEER",,,4571,6256,,Other,Lib,CCF
17,AB,15,"VEGREVILLE",,,4500,5510,,Other,Lib,CCF
17,AB,16,"WETASKIWIN",,4326,2876,4750,,Other,Con,Lib
17,BC,17,"CARIBOO",,8548,8220,,,Con,Lib,Other
17,BC,18,"COMOX--ALBERNI",,3270,,5651,,Other,Con,CCF
17,BC,19,"FRASER VALLEY",,6946,6374,,,Con,Lib,Other
17,BC,20,"KOOTENAY EAST",,4674,4468,,,Con,Lib,Other
17,BC,21,"KOOTENAY WEST",,7699,5938,429,,Con,Lib,Other
17,BC,22,"NANAIMO",,11827,8596,,,Con,Lib,Other
17,BC,23,"NEW WESTMINSTER",,10502,13293,,,Lib,Con,Other
17,BC,24,"SKEENA",,4327,5351,,,Lib,Con,Other
17,BC,25,"VANCOUVER CENTRE",,10023,12064,,,Lib,Con,Other
17,BC,26,"VANCOUVER NORTH",6799,5757,,,,CCF,Con,Other
17,BC,27,"VANCOUVER SOUTH",,14850,,16593,,Other,Con,CCF
17,BC,28,"VANCOUVER--BURRARD",,13885,16619,953,,Lib,Con,Other
17,BC,29,"VICTORIA",,8319,6303,,,Con,Lib,Other
17,BC,30,"YALE",,8447,4908,,,Con,Lib,Other
17,MB,31,"BRANDON",,8512,6457,1331,,Con,Lib,Other
17,MB,32,"DAUPHIN",,7083,,6399,,Con,Other,CCF
17,MB,33,"LISGAR",,4990,,5162,,Other,Con,CCF
17,MB,34,"MACDONALD",,5601,,6100,,Other,Con,CCF
17,MB,35,"MARQUETTE",,8663,,5979,,Con,Other,CCF
17,MB,36,"NEEPAWA",,5638,,,5161,Con,Progressive,Other
17,MB,37,"NELSON",,4741,,,4067,Con,Progressive,Other
17,MB,38,"PORTAGE LA PRAIRIE",,6372,6230,,,Con,Lib,Other
17,MB,39,"PROVENCHER",,2274,321,5277,,Other,Con,Lib
17,MB,40,"SELKIRK",,6581,,7807,,Other,Con,CCF
17,MB,41,"SOURIS",,6252,,,5780,Con,Progressive,Other
17,MB,42,"SPRINGFIELD",,5446,,5541,,Other,Con,CCF
17,MB,43,"ST. BONIFACE",,4630,7045,1943,,Lib,Con,Other
17,MB,44,"WINNIPEG NORTH",,5011,2164,6907,,Other,Con,Lib
17,MB,45,"WINNIPEG NORTH CENTRE",,,,10785,,Other,CCF,Con
17,MB,46,"WINNIPEG SOUTH",,10117,9774,256,,Con,Lib,Other
17,MB,47,"WINNIPEG SOUTH CENTRE",,17355,13637,,,Con,Lib,Other
17,NB,48,"CHARLOTTE",,5595,4092,,,Con,Lib,Other
17,NB,49,"GLOUCESTER",,7460,7716,,,Lib,Con,Other
17,NB,50,"KENT",,4884,4504,,,Con,Lib,Other
17,NB,51,"NORTHUMBERLAND",,8095,5637,,,Con,Lib,Other
17,NB,52,"RESTIGOUCHE--MADAWASKA",,10037,9489,,,Con,Lib,Other
17,NB,53,"ROYAL",,8698,5774,,,Con,Lib,Other
17,NB,54,"ST. JOHN--ALBERT-1",,16395,8595,,,Con,Lib,Other
17,NB,55,"ST. JOHN--ALBERT-2",,16454,8371,,,Con,Lib,Other
17,NB,56,"VICTORIA--CARLETON",,8628,5776,,,Con,Lib,Other
17,NB,57,"WESTMORLAND",,13304,10836,,,Con,Lib,Other
17,NB,58,"YORK--SUNBURY",,10166,4552,,,Con,Lib,Other
17,NS,59,"ANTIGONISH--GUYSBOROUGH",,5811,6370,,,Lib,Con,Other
