election_id,prov_code,ed_id,ed_name,CCF,Con,Lib,Other,Reconstruct,SoCred,1st,2nd,3rd
18,AB,1,"ACADIA",1859,1024,1444,,,6166,SoCred,CCF,Lib
18,AB,2,"ATHABASKA",,1269,3007,733,,5424,SoCred,Lib,Con
18,AB,3,"BATTLE RIVER",3015,1614,3015,,,7029,SoCred,CCF,Lib
18,AB,4,"BOW RIVER",2315,3091,1242,,,7529,SoCred,Con,CCF
18,AB,5,"CALGARY EAST",1020,6009,2576,,,8376,SoCred,Con,Lib
18,AB,6,"CALGARY WEST",686,9172,2130,,411,5817,Con,SoCred,Lib
18,AB,7,"CAMROSE",,2051,2438,,,8776,SoCred,Lib,Con
18,AB,8,"EDMONTON EAST",1726,2827,4889,671,,6099,SoCred,Lib,Con
18,AB,9,"EDMONTON WEST",1967,4781,6471,,949,3768,Lib,Con,SoCred
18,AB,10,"JASPER--EDSON",2067,,5405,,,7208,SoCred,Lib,CCF
18,AB,11,"LETHBRIDGE",737,2990,2109,,425,6516,SoCred,Con,Lib
18,AB,12,"MACLEOD",3577,2100,1761,,,7028,SoCred,CCF,Con
18,AB,13,"MEDICINE HAT",,1971,4229,,,6752,SoCred,Lib,Con
18,AB,14,"PEACE RIVER",1646,896,3546,,,5513,SoCred,Lib,CCF
18,AB,15,"RED DEER",1855,1648,1861,,,7901,SoCred,Lib,CCF
18,AB,16,"VEGREVILLE",3628,871,2818,2001,,4124,SoCred,CCF,Lib
18,AB,17,"WETASKIWIN",2772,,2801,,,7601,SoCred,Lib,CCF
18,BC,18,"CARIBOO",3740,1853,4222,,510,,Lib,CCF,Con
18,BC,19,"COMOX--ALBERNI",2437,1509,,5496,78,,Other,CCF,Con
18,BC,20,"FRASER VALLEY",3630,4359,3379,,1261,,Con,CCF,Lib
18,BC,21,"KAMLOOPS",2920,2974,4190,,1084,,Lib,Con,CCF
18,BC,22,"KOOTENAY EAST",1553,,3339,,3904,1262,Reconstruct,Lib,CCF
18,BC,23,"KOOTENAY WEST",3689,4995,3149,,,,Con,CCF,Lib
18,BC,24,"NANAIMO",7053,6440,6204,,546,,CCF,Con,Lib
18,BC,25,"NEW WESTMINSTER",9716,6531,9977,,850,,Lib,CCF,Con
18,BC,26,"SKEENA",,2611,3898,,1751,,Lib,Con,Reconstruct
18,BC,27,"VANCOUVER CENTRE",7522,5187,7658,251,1872,,Lib,CCF,Con
18,BC,28,"VANCOUVER EAST",13629,3364,7090,1555,1134,,CCF,Lib,Con
18,BC,29,"VANCOUVER NORTH",8641,3025,7705,,2255,,CCF,Lib,Con
18,BC,30,"VANCOUVER SOUTH",8632,9491,9212,699,2896,,Con,Lib,CCF
18,BC,31,"VANCOUVER--BURRARD",10209,5259,10215,,1913,534,Lib,CCF,Con
18,BC,32,"VICTORIA",6482,7505,6378,,905,,Con,CCF,Lib
18,BC,33,"YALE",4551,6791,5113,,,,Con,Lib,CCF
18,MB,34,"BRANDON",3396,6575,6368,,556,,Con,Lib,CCF
18,MB,35,"CHURCHILL",2313,3091,3603,,,,Lib,Con,CCF
18,MB,36,"DAUPHIN",2508,5628,7091,,,,Lib,Con,CCF
18,MB,37,"LISGAR",,4453,4973,,767,,Lib,Con,Reconstruct
18,MB,38,"MACDONALD",967,4072,1865,5987,1291,,Other,Con,Lib
18,MB,39,"MARQUETTE",3877,5010,,6850,,,Other,Con,CCF
18,MB,40,"NEEPAWA",1015,4582,5968,,1091,,Lib,Con,Reconstruct
18,MB,41,"PORTAGE LA PRAIRIE",,4043,5516,,1375,,Lib,Con,Reconstruct
18,MB,42,"PROVENCHER",,3751,6308,,,,Lib,Con,Other
18,MB,43,"SELKIRK",1633,4098,,11183,1275,1273,Other,Con,CCF
18,MB,44,"SOURIS",953,4501,,4504,631,,Other,Con,CCF
18,MB,45,"SPRINGFIELD",3117,2351,3564,3756,1667,,Other,Lib,CCF
18,MB,46,"ST. BONIFACE",2304,2222,7353,,438,624,Lib,CCF,Con
18,MB,47,"WINNIPEG NORTH",12093,,8412,7276,,905,CCF,Lib,Other
18,MB,48,"WINNIPEG NORTH CENTRE",10052,4657,6025,,2490,1035,CCF,Lib,Con
18,MB,49,"WINNIPEG SOUTH",3690,7158,10871,,2216,800,Lib,Con,CCF
18,MB,50,"WINNIPEG SOUTH CENTRE",6573,9382,11264,,2642,1114,Lib,Con,CCF
18,NB,51,"CHARLOTTE",,3386,5436,,1732,,Lib,Con,Reconstruct
18,NB,52,"GLOUCESTER",,2962,11816,,985,,Lib,Con,Reconstruct
18,NB,53,"KENT",,1593,6504,1442,,,Lib,Con,Other
18,NB,54,"NORTHUMBERLAND",,3253,7662,,2697,,Lib,Con,Reconstruct
18,NB,55,"RESTIGOUCHE--MADAWASKA",,4045,13562,,,,Lib,Con,Other
18,NB,56,"ROYAL",,7474,7329,,849,,Con,Lib,Reconstruct
18,NB,57,"ST. JOHN--ALBERT",,11643,15125,672,4094,,Lib,Con,Reconstruct
18,NB,58,"VICTORIA--CARLETON",,6405,7500,,1791,,Lib,Con,Reconstruct
18,NB,59,"WESTMORLAND",,6342,16307,,3312,,Lib,Con,Reconstruct
18,NB,60,"YORK--SUNBURY",,9042,9296,,1506,,Lib,Con,Reconstruct
18,NS,61,"ANTIGONISH--GUYSBOROUGH",,,7779,,3783,,Lib,Reconstruct,Other
18,NS,62,"CAPE BRETON NORTH AND VICTORIA",,4067,6457,,3377,,Lib,Con,Reconstruct
18,NS,63,"CAPE BRETON SOUTH",,7355,10409,5365,5008,,Lib,Con,Other
18,NS,64,"COLCHESTER--HANTS",,9402,9608,,1923,,Lib,Con,Reconstruct
18,NS,65,"CUMBERLAND",,7158,7473,,2469,,Lib,Con,Reconstruct
18,NS,66,"DIGBY--ANNAPOLIS--KINGS",,7266,13894,,1773,,Lib,Con,Reconstruct
18,NS,67,"HALIFAX-1",,13250,24158,,6307,,Lib,Con,Reconstruct
18,NS,68,"HALIFAX-2",,13624,23312,,5091,,Lib,Con,Reconstruct
18,NS,69,"INVERNESS--RICHMOND",,4672,9488,,2648,,Lib,Con,Reconstruct
18,NS,70,"PICTOU",,6513,8416,,4202,,Lib,Con,Reconstruct
18,NS,71,"QUEENS--LUNENBURG",,9500,10238,,,,Lib,Con,Other
18,NS,72,"SHELBURNE--YARMOUTH--CLARE",,5086,11102,,1594,,Lib,Con,Reconstruct
18,ON,73,"ALGOMA EAST",1362,2541,5816,,833,,Lib,Con,CCF
18,ON,74,"ALGOMA WEST",1669,4844,7968,,252,,Lib,Con,CCF
18,ON,75,"BRANT",494,3587,4294,,1277,,Lib,Con,Reconstruct
18,ON,76,"BRANTFORD CITY",1618,6511,7383,,1202,,Lib,Con,CCF
18,ON,77,"BROADVIEW",5167,11380,7527,,3793,,Con,Lib,CCF
18,ON,78,"BRUCE",,5149,6831,,2973,,Lib,Con,Reconstruct
18,ON,79,"CARLETON",,6872,5919,,3431,,Con,Lib,Reconstruct
18,ON,80,"COCHRANE",3247,,12719,1004,2593,,Lib,CCF,Reconstruct
18,ON,81,"DANFORTH",3855,9231,4521,,3416,,Con,Lib,CCF
18,ON,82,"DAVENPORT",4766,18594,,,4216,,Con,CCF,Reconstruct
18,ON,83,"DUFFERIN--SIMCOE",,8150,4767,,2657,,Con,Lib,Reconstruct
18,ON,84,"DURHAM",497,6176,6649,,531,,Lib,Con,Reconstruct
18,ON,85,"EGLINTON",2474,13786,9574,,5868,,Con,Lib,Reconstruct
18,ON,86,"ELGIN",,9508,11295,,1793,,Lib,Con,Reconstruct
18,ON,87,"ESSEX EAST",4106,6493,7562,,1102,,Lib,Con,CCF
18,ON,88,"ESSEX SOUTH",,4889,5592,2563,,,Lib,Con,Other
18,ON,89,"ESSEX WEST",5241,8150,11033,,1837,,Lib,Con,CCF
18,ON,90,"FORT WILLIAM",1635,4565,5481,78,2030,,Lib,Con,Reconstruct
18,ON,91,"FRONTENAC--ADDINGTON",,6831,7250,,345,,Lib,Con,Reconstruct
18,ON,92,"GLENGARRY",,3202,4548,,1052,,Lib,Con,Reconstruct
18,ON,93,"GREENWOOD",4813,11183,6969,,4720,,Con,Lib,CCF
18,ON,94,"GRENVILLE--DUNDAS",,8936,6581,,1615,,Con,Lib,Reconstruct
18,ON,95,"GREY NORTH",1221,6740,8060,,1792,,Lib,Con,Reconstruct
18,ON,96,"GREY--BRUCE",,5100,5727,7210,,,Other,Lib,Con
18,ON,97,"HALDIMAND",,5750,5031,,554,,Con,Lib,Reconstruct
18,ON,98,"HALTON",,5146,6177,,1876,,Lib,Con,Reconstruct
18,ON,99,"HAMILTON EAST",4506,10078,,7288,6197,,Con,Other,Reconstruct
18,ON,100,"HAMILTON WEST",2203,7857,8251,,5065,,Lib,Con,Reconstruct
18,ON,101,"HASTINGS SOUTH",,9572,9982,,879,,Lib,Con,Reconstruct
18,ON,102,"HASTINGS--PETERBOROUGH",,4619,5671,,2552,,Lib,Con,Reconstruct
18,ON,103,"HIGH PARK",3574,10949,8357,,4396,,Con,Lib,Reconstruct
18,ON,104,"HURON NORTH",,5925,6508,,1572,,Lib,Con,Reconstruct
18,ON,105,"HURON--PERTH",,3001,6260,,1530,,Lib,Con,Reconstruct
18,ON,106,"KENORA--RAINY RIVER",2169,2837,8271,,1326,,Lib,Con,CCF
18,ON,107,"KENT",,,11281,,7588,,Lib,Reconstruct,Other
18,ON,108,"KINGSTON CITY",373,5979,6897,,,,Lib,Con,CCF
18,ON,109,"LAMBTON WEST",,4636,8335,,2094,,Lib,Con,Reconstruct
18,ON,110,"LAMBTON--KENT",,5064,6744,,3349,,Lib,Con,Reconstruct
18,ON,111,"LANARK",,8043,7381,,2252,,Con,Lib,Reconstruct
18,ON,112,"LEEDS",,9487,8737,,892,,Con,Lib,Reconstruct
18,ON,113,"LINCOLN",1224,11398,11135,,2349,,Con,Lib,Reconstruct
18,ON,114,"LONDON",3041,10911,8628,3710,3814,,Con,Lib,Reconstruct
18,ON,115,"MIDDLESEX EAST",1306,5602,7151,,1827,,Lib,Con,Reconstruct
