election_id,prov_code,ed_id,ed_name,Con,Lib,NDP,Other,PC,Reform,SoCred,1st,2nd,3rd
28,AB,1,"ATHABASCA",,7626,2315,,8852,,,PC,Lib,NDP
28,AB,2,"BATTLE RIVER",,4124,1827,,15725,,2756,PC,Lib,SoCred
28,AB,3,"CALGARY CENTRE",,16676,2413,,16977,,,PC,Lib,NDP
28,AB,4,"CALGARY NORTH",,18185,3648,,21708,,,PC,Lib,NDP
28,AB,5,"CALGARY SOUTH",,20472,2798,,19716,,,Lib,PC,NDP
28,AB,6,"CROWFOOT",,4783,1185,,16508,,,PC,Lib,NDP
28,AB,7,"EDMONTON CENTRE",,11811,3054,7912,12062,,,PC,Lib,Other
28,AB,8,"EDMONTON EAST",,12739,5292,410,15764,,,PC,Lib,NDP
28,AB,9,"EDMONTON WEST",,17306,2793,,19612,,,PC,Lib,NDP
28,AB,10,"EDMONTON--STRATHCONA",,21074,2745,1206,15228,,,Lib,PC,NDP
28,AB,11,"LETHBRIDGE",,8193,2442,,11901,,3941,PC,Lib,SoCred
28,AB,12,"MEDICINE HAT",,9015,2401,,8809,,4237,Lib,PC,SoCred
28,AB,13,"PALLISER",,9147,2014,,16967,,,PC,Lib,NDP
28,AB,14,"PEACE RIVER",,4620,4830,,11825,,,PC,NDP,Lib
28,AB,15,"PEMBINA",,9342,2963,,17578,,,PC,Lib,NDP
28,AB,16,"RED DEER",,8541,2349,,17930,,,PC,Lib,NDP
28,AB,17,"ROCKY MOUNTAIN",,7355,2093,687,9377,,,PC,Lib,NDP
28,AB,18,"VEGREVILLE",,5066,2277,1349,15855,,,PC,Lib,NDP
28,AB,19,"WETASKIWIN",,4970,3281,,15178,,,PC,Lib,NDP
28,BC,20,"BURNABY--RICHMOND",,16182,14470,,5035,,2445,Lib,NDP,PC
28,BC,21,"BURNABY--SEYMOUR",,17891,17753,,3206,,702,Lib,NDP,PC
28,BC,22,"CAPILANO",,28292,6279,,7310,,745,Lib,PC,NDP
28,BC,23,"COAST CHILCOTIN",,10292,7477,,2355,,1629,Lib,NDP,PC
28,BC,24,"COMOX--ALBERNI",,11939,11930,311,5154,,997,Lib,NDP,PC
28,BC,25,"ESQUIMALT--SAANICH",,16501,10952,,13587,,751,Lib,PC,NDP
28,BC,26,"FRASER VALLEY EAST",,9689,6654,,3514,,8035,Lib,SoCred,NDP
28,BC,27,"FRASER VALLEY WEST",,13745,14410,,4997,,3224,NDP,Lib,PC
28,BC,28,"KAMLOOPS--CARIBOO",,13000,7566,,9704,,1842,Lib,PC,NDP
28,BC,29,"KOOTENAY WEST",,7768,12181,,4457,,2693,NDP,Lib,PC
28,BC,30,"NANAIMO--COWICHAN--THE ISLANDS",,11378,15273,,8773,,1193,NDP,Lib,PC
28,BC,31,"NEW WESTMINSTER",,18083,16144,251,4761,,1382,Lib,NDP,PC
28,BC,32,"OKANAGAN BOUNDARY",,12321,10481,,10691,,4217,Lib,PC,NDP
28,BC,33,"OKANAGAN--KOOTENAY",,11370,9552,,,,10674,Lib,SoCred,NDP
28,BC,34,"PRINCE GEORGE--PEACE RIVER",,10926,6894,402,9293,,3776,Lib,PC,NDP
28,BC,35,"SKEENA",,7874,12471,,3552,,,NDP,Lib,PC
28,BC,36,"SURREY",,11741,16186,,5953,,2445,NDP,Lib,PC
28,BC,37,"VANCOUVER CENTRE",,25426,11151,,8326,420,,Lib,NDP,PC
28,BC,38,"VANCOUVER EAST",,9750,13339,477,2377,,726,NDP,Lib,PC
28,BC,39,"VANCOUVER KINGSWAY",,10835,15599,,3285,,1760,NDP,Lib,PC
28,BC,40,"VANCOUVER QUADRA",,20788,5727,175,11604,,,Lib,PC,NDP
28,BC,41,"VANCOUVER SOUTH",,19757,9086,157,9521,,1585,Lib,PC,NDP
28,BC,42,"VICTORIA",,18401,9414,526,13578,,,Lib,PC,NDP
28,MB,43,"BRANDON--SOURIS",,9963,4031,,15060,,,PC,Lib,NDP
28,MB,44,"CHURCHILL",,7673,4888,,9009,,,PC,Lib,NDP
28,MB,45,"DAUPHIN",,6770,6737,,8701,,1194,PC,Lib,NDP
28,MB,46,"LISGAR",,7748,1305,614,11785,,1350,PC,Lib,SoCred
28,MB,47,"MARQUETTE",,9183,3651,593,12706,,,PC,Lib,NDP
