election_id,prov_code,ed_id,ed_name,Lib,NDP,Other,PC,SoCred,1st,2nd,3rd
32,AB,1,"ATHABASCA",9822,4218,196,13287,463,PC,Lib,NDP
32,AB,2,"BOW RIVER",5850,2802,,30463,656,PC,Lib,NDP
32,AB,3,"CALGARY CENTRE",9698,2994,867,18610,257,PC,Lib,NDP
32,AB,4,"CALGARY EAST",11662,4490,4022,23073,422,PC,Lib,NDP
32,AB,5,"CALGARY NORTH",10689,3180,924,26201,318,PC,Lib,NDP
32,AB,6,"CALGARY SOUTH",11754,2812,1448,34873,305,PC,Lib,NDP
32,AB,7,"CALGARY WEST",9339,3107,1072,26639,294,PC,Lib,NDP
32,AB,8,"CROWFOOT",4761,1912,,23491,498,PC,Lib,NDP
32,AB,9,"EDMONTON EAST",7606,4763,141,14840,187,PC,Lib,NDP
32,AB,10,"EDMONTON NORTH",9696,5107,112,21442,,PC,Lib,NDP
32,AB,11,"EDMONTON SOUTH",10673,4772,388,24839,,PC,Lib,NDP
32,AB,12,"EDMONTON WEST",9999,3886,692,18730,,PC,Lib,NDP
32,AB,13,"EDMONTON--STRATHCONA",10938,4837,590,23920,,PC,Lib,NDP
32,AB,14,"LETHBRIDGE--FOOTHILLS",6882,3974,614,27307,1031,PC,Lib,NDP
32,AB,15,"MEDICINE HAT",6462,3453,,25908,1022,PC,Lib,NDP
32,AB,16,"PEACE RIVER",6243,5436,838,18953,462,PC,Lib,NDP
32,AB,17,"PEMBINA",11464,5260,,31490,465,PC,Lib,NDP
32,AB,18,"RED DEER",6180,3345,,31758,1203,PC,Lib,NDP
32,AB,19,"VEGREVILLE",4373,3172,529,25682,575,PC,Lib,NDP
32,AB,20,"WETASKIWIN",5208,3673,,26620,,PC,Lib,NDP
32,AB,21,"YELLOWHEAD",7302,4562,419,27953,,PC,Lib,NDP
32,BC,22,"BURNABY",10585,21587,81,18619,,NDP,PC,Lib
32,BC,23,"CAPILANO",10843,6495,688,26327,,PC,Lib,NDP
32,BC,24,"CARIBOO--CHILCOTIN",7577,10292,92,12355,,PC,NDP,Lib
32,BC,25,"COMOX--POWELL RIVER",9221,25007,292,16545,,NDP,PC,Lib
32,BC,26,"COWICHAN--MALAHAT--THE ISLANDS",5161,22154,529,18153,,NDP,PC,Lib
32,BC,27,"ESQUIMALT--SAANICH",10043,19115,1324,24961,,PC,NDP,Lib
32,BC,28,"FRASER VALLEY EAST",9490,10695,2057,21989,,PC,NDP,Lib
32,BC,29,"FRASER VALLEY WEST",8483,16568,83,25770,,PC,NDP,Lib
32,BC,30,"KAMLOOPS--SHUSWAP",11588,17896,237,16046,,NDP,PC,Lib
32,BC,31,"KOOTENAY EAST--REVELSTOKE",7386,13299,,12668,,NDP,PC,Lib
32,BC,32,"KOOTENAY WEST",4769,12232,,11417,,NDP,PC,Lib
32,BC,33,"MISSION--PORT MOODY",7762,23224,150,17715,358,NDP,PC,Lib
32,BC,34,"NANAIMO--ALBERNI",6994,24082,833,17040,,NDP,PC,Lib
32,BC,35,"NEW WESTMINSTER--COQUITLAM",8041,19498,147,14321,,NDP,PC,Lib
32,BC,36,"NORTH VANCOUVER--BURNABY",15307,11820,38,16774,88,PC,Lib,NDP
32,BC,37,"OKANAGAN NORTH",11368,14944,,24983,,PC,NDP,Lib
32,BC,38,"OKANAGAN--SIMILKAMEEN",9433,13058,317,19161,593,PC,NDP,Lib
32,BC,39,"PRINCE GEORGE--BULKLEY VALLEY",9147,10226,,12640,,PC,NDP,Lib
32,BC,40,"PRINCE GEORGE--PEACE RIVER",5044,6835,,13593,620,PC,NDP,Lib
32,BC,41,"RICHMOND--SOUTH DELTA",13134,13606,231,29192,,PC,NDP,Lib
32,BC,42,"SKEENA",7141,13280,205,6191,,NDP,Lib,PC
32,BC,43,"SURREY--WHITE ROCK--NORTH DELTA",9759,19051,587,28151,,PC,NDP,Lib
32,BC,44,"VANCOUVER CENTRE",14667,14830,716,16462,,PC,NDP,Lib
32,BC,45,"VANCOUVER EAST",12979,14245,472,4742,,NDP,Lib,PC
32,BC,46,"VANCOUVER KINGSWAY",10954,16928,325,7924,,NDP,Lib,PC
32,BC,47,"VANCOUVER QUADRA",13987,9907,554,20993,104,PC,Lib,NDP
32,BC,48,"VANCOUVER SOUTH",10254,8896,390,22288,,PC,Lib,NDP
32,BC,49,"VICTORIA",7145,17088,493,25068,,PC,NDP,Lib
32,MB,50,"BRANDON--SOURIS",9661,8509,76,16098,,PC,Lib,NDP
32,MB,51,"CHURCHILL",7092,10319,352,6084,,NDP,Lib,PC
32,MB,52,"DAUPHIN",4849,12960,,11116,,NDP,PC,Lib
32,MB,53,"LISGAR",7016,3353,396,18057,,PC,Lib,NDP
32,MB,54,"PORTAGE--MARQUETTE",6973,7221,174,16219,,PC,NDP,Lib
32,MB,55,"PROVENCHER",8271,9281,433,14677,,PC,NDP,Lib
32,MB,56,"SELKIRK--INTERLAKE",5953,15055,97,11847,,NDP,PC,Lib
32,MB,57,"ST. BONIFACE",20076,11191,57,13044,,Lib,PC,NDP
32,MB,58,"WINNIPEG NORTH",9517,18561,344,8313,,NDP,Lib,PC
32,MB,59,"WINNIPEG NORTH CENTRE",5176,12637,245,4113,,NDP,Lib,PC
32,MB,60,"WINNIPEG--ASSINIBOINE",15424,7304,246,22160,,PC,Lib,NDP
32,MB,61,"WINNIPEG--BIRDS HILL",7020,24672,382,13385,,NDP,PC,Lib
32,MB,62,"WINNIPEG--FORT GARRY",18694,7293,495,13854,,Lib,PC,NDP
32,MB,63,"WINNIPEG--ST. JAMES",7531,11078,313,10640,,NDP,PC,Lib
