election_id,prov_code,ed_id,ed_name,Grn,Lib,NDP,Other,PC,SoCred,1st,2nd,3rd
33,AB,1,"ATHABASCA",,4222,6001,578,23997,332,PC,NDP,Lib
33,AB,2,"BOW RIVER",,4066,5258,3792,43033,326,PC,NDP,Lib
33,AB,3,"CALGARY CENTRE",761,5955,5138,784,24924,,PC,Lib,NDP
33,AB,4,"CALGARY EAST",,14749,8558,2097,36825,343,PC,Lib,NDP
33,AB,5,"CALGARY NORTH",,6864,7027,765,39207,,PC,NDP,Lib
33,AB,6,"CALGARY SOUTH",,7827,6135,1802,55590,,PC,Lib,NDP
33,AB,7,"CALGARY WEST",605,5749,5409,756,37565,201,PC,Lib,NDP
33,AB,8,"CROWFOOT",,2483,3153,1559,26291,294,PC,NDP,Lib
33,AB,9,"EDMONTON EAST",233,6002,7668,3226,16119,,PC,NDP,Lib
33,AB,10,"EDMONTON NORTH",,8311,12305,714,29074,345,PC,NDP,Lib
33,AB,11,"EDMONTON SOUTH",503,8259,9407,1115,32510,252,PC,NDP,Lib
33,AB,12,"EDMONTON WEST",326,9673,7339,697,25764,,PC,Lib,NDP
33,AB,13,"EDMONTON--STRATHCONA",466,8500,11095,886,33712,218,PC,NDP,Lib
33,AB,14,"LETHBRIDGE--FOOTHILLS",,5315,6822,2571,31316,456,PC,NDP,Lib
33,AB,15,"MEDICINE HAT",,4025,4652,1427,33978,772,PC,NDP,Lib
33,AB,16,"PEACE RIVER",578,5419,6333,2877,25648,354,PC,NDP,Lib
33,AB,17,"PEMBINA",,7228,9792,1342,44026,,PC,NDP,Lib
33,AB,18,"RED DEER",,5195,5201,2494,41695,691,PC,NDP,Lib
33,AB,19,"VEGREVILLE",,2775,3793,1078,32480,372,PC,NDP,Lib
33,AB,20,"WETASKIWIN",,3231,5596,3063,30128,456,PC,NDP,Lib
33,AB,21,"YELLOWHEAD",,4097,6906,1602,37462,553,PC,NDP,Lib
33,BC,22,"BURNABY",364,9612,28318,,20697,,NDP,PC,Lib
33,BC,23,"CAPILANO",747,13575,6310,1446,28616,,PC,Lib,NDP
33,BC,24,"CARIBOO--CHILCOTIN",392,4881,11544,,20553,335,PC,NDP,Lib
33,BC,25,"COMOX--POWELL RIVER",505,5790,27288,667,26566,357,NDP,PC,Lib
33,BC,26,"COWICHAN--MALAHAT--THE ISLANDS",387,5899,24555,693,22964,,NDP,PC,Lib
33,BC,27,"ESQUIMALT--SAANICH",547,9516,23094,561,31766,306,PC,NDP,Lib
33,BC,28,"FRASER VALLEY EAST",,7942,12779,735,32073,,PC,NDP,Lib
33,BC,29,"FRASER VALLEY WEST",277,8349,19878,1271,35984,,PC,NDP,Lib
33,BC,30,"KAMLOOPS--SHUSWAP",216,4675,30512,520,20500,,NDP,PC,Lib
33,BC,31,"KOOTENAY EAST--REVELSTOKE",,4477,15908,479,18129,,PC,NDP,Lib
33,BC,32,"KOOTENAY WEST",,2460,15060,,15804,,PC,NDP,Lib
33,BC,33,"MISSION--PORT MOODY",540,7071,25925,,30678,327,PC,NDP,Lib
33,BC,34,"NANAIMO--ALBERNI",529,5922,25659,314,27410,,PC,NDP,Lib
33,BC,35,"NEW WESTMINSTER--COQUITLAM",,5816,21134,528,18291,,NDP,PC,Lib
33,BC,36,"NORTH VANCOUVER--BURNABY",217,14321,12812,754,21750,,PC,Lib,NDP
33,BC,37,"OKANAGAN NORTH",,9935,17168,,35904,1025,PC,NDP,Lib
33,BC,38,"OKANAGAN--SIMILKAMEEN",417,8106,15181,672,27071,402,PC,NDP,Lib
33,BC,39,"PRINCE GEORGE--BULKLEY VALLEY",,5121,13274,1047,18897,,PC,NDP,Lib
33,BC,40,"PRINCE GEORGE--PEACE RIVER",,3368,8168,847,21154,342,PC,NDP,Lib
33,BC,41,"RICHMOND--SOUTH DELTA",433,13340,16377,574,38168,,PC,NDP,Lib
33,BC,42,"SKEENA",,5130,14174,443,11209,,NDP,PC,Lib
33,BC,43,"SURREY--WHITE ROCK--NORTH DELTA",315,10747,22555,636,39544,,PC,NDP,Lib
33,BC,44,"VANCOUVER CENTRE",533,10654,16283,1036,21704,,PC,NDP,Lib
33,BC,45,"VANCOUVER EAST",,9044,18464,931,7210,,NDP,Lib,PC
33,BC,46,"VANCOUVER KINGSWAY",305,11640,20179,214,7152,,NDP,Lib,PC
33,BC,47,"VANCOUVER QUADRA",389,21794,8343,497,18581,,Lib,PC,NDP
33,BC,48,"VANCOUVER SOUTH",529,9507,10909,,25469,,PC,NDP,Lib
33,BC,49,"VICTORIA",575,6702,20480,715,24588,,PC,NDP,Lib
33,MB,50,"BRANDON--SOURIS",,5278,5631,6322,18813,,PC,Other,NDP
33,MB,51,"CHURCHILL",,4272,10829,658,8010,,NDP,PC,Lib
33,MB,52,"DAUPHIN--SWAN RIVER",,4352,10219,1589,11973,,PC,NDP,Lib
33,MB,53,"LISGAR",,4423,2052,9413,15557,,PC,Other,Lib
33,MB,54,"PORTAGE--MARQUETTE",,4161,4447,7161,15378,,PC,Other,NDP
33,MB,55,"PROVENCHER",,4859,6941,2579,20077,,PC,NDP,Lib
33,MB,56,"SELKIRK--INTERLAKE",,3510,13088,3464,13750,,PC,NDP,Lib
33,MB,57,"ST. BONIFACE",,16763,11279,1649,19548,,PC,Lib,NDP
33,MB,58,"WINNIPEG NORTH",,10421,18209,706,12705,,NDP,PC,Lib
33,MB,59,"WINNIPEG NORTH CENTRE",,5144,10559,718,6470,,NDP,PC,Lib
33,MB,60,"WINNIPEG--ASSINIBOINE",,16200,7067,1816,27567,,PC,Lib,NDP
33,MB,61,"WINNIPEG--BIRDS HILL",,5447,23903,2187,20644,,NDP,PC,Lib
33,MB,62,"WINNIPEG--FORT GARRY",,21286,5932,423,18932,,Lib,PC,NDP
33,MB,63,"WINNIPEG--ST. JAMES",,6007,9843,1080,12523,,PC,NDP,Lib
33,NB,64,"CARLETON--CHARLOTTE",,7752,4608,,19984,,PC,Lib,NDP
33,NB,65,"FUNDY--ROYAL",,11482,8487,,26021,,PC,Lib,NDP
33,NB,66,"GLOUCESTER",,16378,2188,584,23524,,PC,Lib,NDP
33,NB,67,"MADAWASKA--VICTORIA",,13245,1968,,16411,,PC,Lib,NDP
33,NB,68,"MONCTON",,14557,7629,243,29936,,PC,Lib,NDP
33,NB,69,"NORTHUMBERLAND--MIRAMICHI",,11971,2660,,17134,,PC,Lib,NDP
33,NB,70,"RESTIGOUCHE",,12250,4526,,14089,,PC,Lib,NDP
33,NB,71,"SAINT JOHN",,8109,6752,242,16604,102,PC,Lib,NDP
