election_id,prov_code,ed_id,ed_name,Bloc,CdnAll,Grn,Lib,NDP,Other,PC,1st,2nd,3rd
37,AB,1,"ATHABASCA",,18775,345,9793,872,469,4224,CdnAll,Lib,PC
37,AB,2,"CALGARY CENTRE",,22054,1170,5630,1604,426,26358,PC,CdnAll,Lib
37,AB,3,"CALGARY EAST",,18141,,6843,1444,1498,5510,CdnAll,Lib,PC
37,AB,4,"CALGARY NORTHEAST",,28242,,9841,1852,,5222,CdnAll,Lib,PC
37,AB,5,"CALGARY SOUTHEAST",,34492,931,6646,1111,,11353,CdnAll,PC,Lib
37,AB,6,"CALGARY SOUTHWEST",,34529,,7954,2113,,8679,CdnAll,PC,Lib
37,AB,7,"CALGARY WEST",,33222,1456,11181,2350,,13259,CdnAll,PC,Lib
37,AB,8,"CALGARY--NOSE HILL",,35904,1092,11602,2227,194,8696,CdnAll,Lib,PC
37,AB,9,"CROWFOOT",,33767,,2964,1457,2891,6778,CdnAll,PC,Lib
37,AB,10,"EDMONTON CENTRE-EAST",,17768,,14323,7304,222,2252,CdnAll,Lib,NDP
37,AB,11,"EDMONTON NORTH",,22063,,14786,3216,,3010,CdnAll,Lib,NDP
37,AB,12,"EDMONTON SOUTHEAST",,16392,,21109,1285,438,2269,Lib,CdnAll,PC
37,AB,13,"EDMONTON SOUTHWEST",,26197,462,18223,2746,195,5803,CdnAll,Lib,PC
37,AB,14,"EDMONTON WEST",,21245,,21978,2895,548,3009,Lib,CdnAll,PC
37,AB,15,"EDMONTON--STRATHCONA",,23463,,17816,8256,1277,5047,CdnAll,Lib,NDP
37,AB,16,"ELK ISLAND",,33730,,9289,3316,,6178,CdnAll,Lib,PC
37,AB,17,"LAKELAND",,29348,,9050,2069,,4373,CdnAll,Lib,PC
37,AB,18,"LETHBRIDGE",,30380,864,7797,2648,264,4062,CdnAll,Lib,PC
37,AB,19,"MACLEOD",,30783,,4137,2945,,6079,CdnAll,PC,Lib
37,AB,20,"MEDICINE HAT",,31134,,4392,2153,,4236,CdnAll,Lib,PC
37,AB,21,"PEACE RIVER",,27508,,6495,2914,,5021,CdnAll,Lib,PC
37,AB,22,"RED DEER",,36940,,6522,2346,,5064,CdnAll,Lib,PC
37,AB,23,"ST. ALBERT",,32745,,13637,2965,,5687,CdnAll,Lib,PC
37,AB,24,"WETASKIWIN",,33675,,8318,2045,,4413,CdnAll,Lib,PC
37,AB,25,"WILD ROSE",,40193,,6334,2320,908,7370,CdnAll,PC,Lib
37,AB,26,"YELLOWHEAD",,26824,,6348,1910,371,5141,CdnAll,Lib,PC
37,BC,27,"BURNABY--DOUGLAS",,15057,,10774,17018,189,2477,NDP,CdnAll,Lib
37,BC,28,"CARIBOO--CHILCOTIN",,19213,,6555,2915,715,2822,CdnAll,Lib,NDP
37,BC,29,"DELTA--SOUTH RICHMOND",,30882,,15858,3060,742,3838,CdnAll,Lib,PC
37,BC,30,"DEWDNEY--ALOUETTE",,28181,,8717,5535,,5804,CdnAll,Lib,PC
37,BC,31,"ESQUIMALT--JUAN DE FUCA",,23982,2056,11536,6468,324,3857,CdnAll,Lib,NDP
37,BC,32,"FRASER VALLEY",,38509,528,8965,3185,1517,2330,CdnAll,Lib,NDP
37,BC,33,"KAMLOOPS, THOMPSON AND HIGHLAND VALLEYS",,23578,,7582,13600,544,3217,CdnAll,NDP,Lib
37,BC,34,"KELOWNA",,33810,,13564,3572,1199,4708,CdnAll,Lib,PC
37,BC,35,"KOOTENAY--BOUNDARY--OKANAGAN",,19386,2689,11357,4091,1842,2147,CdnAll,Lib,NDP
37,BC,36,"KOOTENAY--COLUMBIA",,25663,1158,5581,3297,,2165,CdnAll,Lib,NDP
37,BC,37,"LANGLEY--ABBOTSFORD",,38810,,9554,2353,420,4218,CdnAll,Lib,PC
37,BC,38,"NANAIMO--ALBERNI",,26516,,10877,7635,2190,5340,CdnAll,Lib,NDP
37,BC,39,"NANAIMO--COWICHAN",,23641,1196,10857,8599,2762,3640,CdnAll,Lib,NDP
37,BC,40,"NEW WESTMINSTER--COQUITLAM--BURNABY",,20698,1028,14529,7076,202,3492,CdnAll,Lib,NDP
37,BC,41,"NORTH VANCOUVER",,27920,,18343,2760,2978,3975,CdnAll,Lib,PC
37,BC,42,"OKANAGAN--COQUIHALLA",,28794,1110,9923,4096,1640,2939,CdnAll,Lib,NDP
37,BC,43,"OKANAGAN--SHUSWAP",,29345,,9855,4060,1518,3096,CdnAll,Lib,NDP
37,BC,44,"PORT MOODY--COQUITLAM--PORT COQUITLAM",,28631,839,16937,5340,1368,4506,CdnAll,Lib,NDP
37,BC,45,"PRINCE GEORGE--BULKLEY VALLEY",,20596,793,8202,2029,937,2448,CdnAll,Lib,PC
37,BC,46,"PRINCE GEORGE--PEACE RIVER",,23840,744,5319,1597,642,2103,CdnAll,Lib,PC
37,BC,47,"RICHMOND",,21064,897,19940,2695,257,2578,CdnAll,Lib,NDP
37,BC,48,"SAANICH--GULF ISLANDS",,25392,3243,19002,4721,428,6049,CdnAll,Lib,PC
37,BC,49,"SKEENA",,12787,688,8714,6273,501,965,CdnAll,Lib,NDP
37,BC,50,"SOUTH SURREY--WHITE ROCK--LANGLEY",,28762,844,10200,2718,659,4796,CdnAll,Lib,PC
37,BC,51,"SURREY CENTRAL",,29812,1175,19513,3211,114,3940,CdnAll,Lib,PC
37,BC,52,"SURREY NORTH",,19973,556,10279,2619,459,1714,CdnAll,Lib,NDP
37,BC,53,"VANCOUVER CENTRE",,15176,2285,24553,6993,2209,6828,Lib,CdnAll,NDP
37,BC,54,"VANCOUVER EAST",,5536,975,13421,16818,1592,1439,NDP,Lib,CdnAll
37,BC,55,"VANCOUVER ISLAND NORTH",,24844,2532,12092,5701,513,2997,CdnAll,Lib,NDP
37,BC,56,"VANCOUVER KINGSWAY",,11076,1009,16118,5921,1494,1803,Lib,CdnAll,NDP
37,BC,57,"VANCOUVER QUADRA",,18613,1434,22253,2595,625,4112,Lib,CdnAll,PC
37,BC,58,"VANCOUVER SOUTH--BURNABY",,15384,646,17705,3848,1235,2649,Lib,CdnAll,NDP
37,BC,59,"VICTORIA",,16502,3264,23730,7243,1269,3629,Lib,CdnAll,NDP
37,BC,60,"WEST VANCOUVER--SUNSHINE COAST",,25546,2605,14169,3351,2594,4993,CdnAll,Lib,PC
37,MB,61,"BRANDON--SOURIS",,11678,,6544,4518,196,13707,PC,CdnAll,Lib
