election_id,prov_code,ed_id,ed_name,Bloc,ConParty,Grn,Lib,NDP,Other,1st,2nd,3rd
38,AB,1,"ATHABASCA",,17942,1542,7158,3115,,ConParty,Lib,NDP
38,AB,2,"CALGARY EAST",,21897,2529,7621,3535,245,ConParty,Lib,NDP
38,AB,3,"CALGARY NORTH CENTRE",,28143,5840,11093,6298,564,ConParty,Lib,NDP
38,AB,4,"CALGARY NORTHEAST",,21924,1658,8672,2682,291,ConParty,Lib,NDP
38,AB,5,"CALGARY SOUTH CENTRE",,26192,5080,15305,4350,274,ConParty,Lib,Grn
38,AB,6,"CALGARY SOUTHEAST",,36843,3142,8488,3419,,ConParty,Lib,NDP
38,AB,7,"CALGARY SOUTHWEST",,35297,3210,9501,2884,745,ConParty,Lib,Grn
38,AB,8,"CALGARY WEST",,31322,4274,16402,3632,402,ConParty,Lib,Grn
38,AB,9,"CALGARY--NOSE HILL",,31088,2898,11051,3250,,ConParty,Lib,NDP
38,AB,10,"CROWFOOT",,37649,1795,3615,3241,639,ConParty,Lib,NDP
38,AB,11,"EDMONTON CENTRE",,21839,2584,22560,4836,1264,Lib,ConParty,NDP
38,AB,12,"EDMONTON EAST",,20224,2471,14250,6464,538,ConParty,Lib,NDP
38,AB,13,"EDMONTON--BEAUMONT",,17421,1911,17555,3975,135,Lib,ConParty,NDP
38,AB,14,"EDMONTON--LEDUC",,26791,3029,14269,4581,,ConParty,Lib,NDP
38,AB,15,"EDMONTON--SHERWOOD PARK",,27222,3146,11519,5155,,ConParty,Lib,NDP
38,AB,16,"EDMONTON--SPRUCE GROVE",,30497,2572,12912,4508,,ConParty,Lib,NDP
38,AB,17,"EDMONTON--ST. ALBERT",,29508,3387,12359,5927,,ConParty,Lib,NDP
38,AB,18,"EDMONTON--STRATHCONA",,19089,3146,14057,11535,622,ConParty,Lib,NDP
38,AB,19,"LETHBRIDGE",,29765,1262,10250,4623,1632,ConParty,Lib,NDP
38,AB,20,"MACLEOD",,32232,2865,5214,2802,,ConParty,Lib,Grn
38,AB,21,"MEDICINE HAT",,30241,1498,4331,3643,,ConParty,Lib,NDP
38,AB,22,"PEACE RIVER",,28158,2073,8200,4804,,ConParty,Lib,NDP
38,AB,23,"RED DEER",,33510,2142,5294,3500,353,ConParty,Lib,NDP
