election_id,prov_code,ed_id,ed_name,Bloc,Con,Grn,Lib,NDP,Other,1st,2nd,3rd
40,AB,48001,"Fort McMurray--Athabasca",,17160,1628,2710,3300,769,Con,NDP,Lib
40,AB,48002,"Calgary East",,21311,3403,3255,3768,323,Con,NDP,Grn
40,AB,48003,"Calgary Centre-North",,27361,7392,5699,7413,529,Con,NDP,Grn
40,AB,48004,"Calgary Northeast",,18917,2045,7433,3279,5047,Con,Lib,Other
40,AB,48005,"Calgary--Nose Hill",,35029,4685,6657,3941,,Con,Lib,Grn
40,AB,48006,"Calgary Centre",,26085,7778,8402,4229,420,Con,Lib,Grn
40,AB,48007,"Calgary Southeast",,41425,5736,4878,4024,,Con,Grn,Lib
40,AB,48008,"Calgary Southwest",,38548,4743,4918,4102,521,Con,Lib,Grn
40,AB,48009,"Calgary West",,34579,6722,13204,3832,1945,Con,Lib,Grn
40,AB,48010,"Crowfoot",,39342,2875,1958,3783,,Con,NDP,Grn
40,AB,48011,"Edmonton--Mill Woods--Beaumont",,25130,2366,7709,6297,157,Con,Lib,NDP
40,AB,48012,"Edmonton Centre",,22634,3746,12661,6912,203,Con,Lib,NDP
40,AB,48013,"Edmonton East",,21487,2488,4578,13318,,Con,NDP,Lib
40,AB,48014,"Edmonton--Leduc",,33174,4081,9234,5994,,Con,Lib,NDP
40,AB,48015,"Edmonton--St. Albert",,31436,4072,7441,8045,,Con,NDP,Lib
40,AB,48016,"Edmonton--Sherwood Park",,17628,3678,5575,6339,15960,Con,Other,NDP
40,AB,48017,"Edmonton--Spruce Grove",,36402,3975,6099,6627,,Con,NDP,Lib
40,AB,48018,"Edmonton--Strathcona",,19640,3040,4279,20103,147,NDP,Con,Lib
40,AB,48019,"Lethbridge",,31714,3420,4404,6733,1094,Con,NDP,Lib
40,AB,48020,"Macleod",,35328,4161,2703,3053,422,Con,Grn,NDP
40,AB,48021,"Medicine Hat",,26950,2338,2639,4187,1914,Con,NDP,Lib
40,AB,48022,"Peace River",,29550,3303,2843,6124,689,Con,NDP,Grn
40,AB,48023,"Red Deer",,33226,4239,2863,5040,,Con,NDP,Grn
40,AB,48024,"Vegreville--Wainwright",,34493,3676,2345,4230,,Con,NDP,Grn
40,AB,48025,"Westlock--St. Paul",,27338,2522,3418,3809,510,Con,NDP,Lib
40,AB,48026,"Wetaskiwin",,32528,3395,2362,3636,249,Con,NDP,Grn
40,AB,48027,"Wild Rose",,36869,6390,2890,4169,246,Con,Grn,NDP
40,AB,48028,"Yellowhead",,26863,3437,1489,4587,1014,Con,NDP,Grn
40,BC,59001,"Abbotsford",,30853,3141,7933,6444,358,Con,Lib,NDP
40,BC,59002,"Burnaby--Douglas",,17139,2822,9177,17937,203,NDP,Con,Lib
40,BC,59003,"Burnaby--New Westminster",,13150,3067,6681,20145,282,NDP,Con,Lib
40,BC,59004,"Cariboo--Prince George",,22637,2614,4309,10581,729,Con,NDP,Lib
40,BC,59005,"Chilliwack--Fraser Canyon",,29198,4107,3990,8791,766,Con,NDP,Grn
