election_id,prov_code,ed_id,ed_name,Con,Lib,Other,PC,Progressive,1st,2nd,3rd
7,BC,1,"CARIBOO",223,194,,,,Con,Lib,Other
7,BC,2,"NEW WESTMINSTER",1694,532,,,,Con,Lib,Other
7,BC,3,"VANCOUVER",,,,,,Other,Con,Lib
7,BC,4,"VICTORIA-1",1031,417,,,,Con,Lib,Other
7,BC,5,"VICTORIA-2",1061,449,,,,Con,Lib,Other
7,BC,6,"YALE",,,,,,Other,Con,Lib
7,MB,7,"LISGAR",,1169,,1359,,PC,Lib,Other
7,MB,8,"MARQUETTE",2219,2265,,,,Lib,Con,Other
7,MB,9,"PROVENCHER",,,,,,Other,Con,Lib
7,MB,10,"SELKIRK",,3225,,3660,,PC,Lib,Other
7,MB,11,"WINNIPEG",,1622,,2131,,PC,Lib,Other
7,NB,12,"ALBERT",1096,1020,,,,Con,Lib,Other
7,NB,13,"CARLETON",1908,2016,,,,Lib,Con,Other
7,NB,14,"CHARLOTTE",1686,1934,,,,Lib,Con,Other
7,NB,15,"CITY AND COUNTY OF ST. JOHN-1",,4448,3503,,,Lib,Other,Con
7,NB,16,"CITY AND COUNTY OF ST. JOHN-2",4824,3832,,,,Con,Lib,Other
7,NB,17,"CITY OF ST. JOHN",2649,2063,,,,Con,Lib,Other
7,NB,18,"GLOUCESTER",1943,1571,,,,Con,Lib,Other
7,NB,19,"KENT",1722,1011,,,,Con,Lib,Other
7,NB,20,"KING'S",1931,,1858,,,Con,Other,Lib
7,NB,21,"NORTHUMBERLAND",2192,,1719,,,Con,Other,Lib
7,NB,22,"QUEEN'S",1204,1233,,,,Lib,Con,Other
7,NB,23,"RESTIGOUCHE",519,,,735,,PC,Con,Other
7,NB,24,"SUNBURY",712,427,,,,Con,Lib,Other
7,NB,25,"VICTORIA",,732,,1427,,PC,Lib,Other
7,NB,26,"WESTMORLAND",4205,2057,,,,Con,Lib,Other
7,NB,27,"YORK",2048,1821,,,,Con,Lib,Other
7,NS,28,"ANNAPOLIS",1835,,1662,,,Con,Other,Lib
7,NS,29,"ANTIGONISH",,,1119,1346,,PC,Other,Con
7,NS,30,"CAPE BRETON-1",2889,2161,,,,Con,Lib,Other
7,NS,31,"CAPE BRETON-2",,2078,,2681,,PC,Lib,Other
7,NS,32,"COLCHESTER",2588,1785,,,165,Con,Lib,Progressive
7,NS,33,"CUMBERLAND",2935,2095,,,303,Con,Lib,Progressive
7,NS,34,"DIGBY",1430,1503,,,,Lib,Con,Other
7,NS,35,"GUYSBOROUGH",1059,1145,,,,Lib,Con,Other
7,NS,36,"HALIFAX-1",5262,4174,,,,Con,Lib,Other
7,NS,37,"HALIFAX-2",5274,4335,,,,Con,Lib,Other
7,NS,38,"HANTS",1705,1604,,,,Con,Lib,Other
7,NS,39,"INVERNESS",1877,1567,,,,Con,Lib,Other
7,NS,40,"KINGS",1654,1815,,,,Lib,Con,Other
7,NS,41,"LUNENBURG",2592,2402,,,,Con,Lib,Other
7,NS,42,"PICTOU-1",,2708,,3384,,PC,Lib,Other
7,NS,43,"PICTOU-2",3433,2594,,,,Con,Lib,Other
7,NS,44,"QUEENS",,867,,766,,Lib,PC,Other
7,NS,45,"RICHMOND",1612,670,,,,Con,Lib,Other
7,NS,46,"SHELBURNE",,1369,,1388,,PC,Lib,Other
7,NS,47,"VICTORIA",822,770,,,,Con,Lib,Other
7,NS,48,"YARMOUTH",,2889,,,,Lib,Other,Con
7,NT,49,"ALBERTA (PROVISIONAL DISTRICT)",3677,,,,,Con,Other,Lib
7,NT,50,"ASSINIBOIA EAST",2049,1293,,,,Con,Lib,Other
7,NT,51,"ASSINIBOIA WEST",1695,,,,,Con,Other,Lib
7,NT,52,"SASKATCHEWAN (PROVISIONAL DISTRICT)",950,667,,,,Con,Lib,Other
7,ON,53,"ADDINGTON",2246,2307,,,,Lib,Con,Other
7,ON,54,"ALGOMA",2251,,1813,,,Con,Other,Lib
