election_id,prov_code,ed_id,ed_name,Con,Lib,Other,PC,1st,2nd,3rd
10,BC,1,"COMOX--ATLIN",,,,,Other,Con,Lib
10,BC,2,"KOOTENAY",1784,2551,622,,Lib,Con,Other
10,BC,3,"NANAIMO",1105,1392,717,,Lib,Con,Other
10,BC,4,"NEW WESTMINSTER",1762,1866,,,Lib,Con,Other
10,BC,5,"VANCOUVER CITY",2080,2938,791,,Lib,Con,Other
10,BC,6,"VICTORIA CITY",1192,1692,336,,Lib,Con,Other
10,BC,7,"YALE--CARIBOO",1858,2019,479,,Lib,Con,Other
10,MB,8,"BRANDON",,3625,2804,,Lib,Other,Con
10,MB,9,"DAUPHIN",,,,,Other,Con,Lib
10,MB,10,"LISGAR",1477,1657,,,Lib,Con,Other
10,MB,11,"MACDONALD",2737,2147,,,Con,Lib,Other
10,MB,12,"MARQUETTE",2594,2521,,,Con,Lib,Other
10,MB,13,"PORTAGE LA PRAIRIE",2663,3048,,,Lib,Con,Other
10,MB,14,"PROVENCHER",1886,1896,,,Lib,Con,Other
10,MB,15,"SELKIRK",1607,2104,,,Lib,Con,Other
10,MB,16,"SOURIS",3123,2603,,,Con,Lib,Other
10,MB,17,"WINNIPEG",4032,4308,1290,,Lib,Con,Other
10,NB,18,"CARLETON",,2662,,2388,Lib,PC,Other
10,NB,19,"CHARLOTTE",,2320,,2574,PC,Lib,Other
10,NB,20,"CITY AND COUNTY OF ST. JOHN",5601,4964,,,Con,Lib,Other
10,NB,21,"CITY OF ST. JOHN",4881,3670,,,Con,Lib,Other
10,NB,22,"GLOUCESTER",1539,2705,,,Lib,Con,Other
10,NB,23,"KENT",1979,2078,138,,Lib,Con,Other
10,NB,24,"KING'S AND ALBERT",3653,3294,,,Con,Lib,Other
10,NB,25,"NORTHUMBERLAND",2304,2589,,,Lib,Con,Other
10,NB,26,"RESTIGOUCHE",836,1274,,,Lib,Con,Other
10,NB,27,"SUNBURY--QUEEN'S",1917,1799,,,Con,Lib,Other
10,NB,28,"VICTORIA",988,2176,,,Lib,Con,Other
10,NB,29,"WESTMORLAND",3747,4693,,,Lib,Con,Other
10,NB,30,"YORK",3096,2934,,,Con,Lib,Other
10,NS,31,"ANNAPOLIS",1794,2013,,,Lib,Con,Other
10,NS,32,"ANTIGONISH",810,1619,,,Lib,Con,Other
10,NS,33,"CAPE BRETON SOUTH",3154,3459,869,,Lib,Con,Other
10,NS,34,"COLCHESTER",2419,2610,,,Lib,Con,Other
10,NS,35,"CUMBERLAND",3829,4535,,,Lib,Con,Other
10,NS,36,"DIGBY",1096,1840,105,,Lib,Con,Other
10,NS,37,"GUYSBOROUGH",1492,2040,,,Lib,Con,Other
10,NS,38,"HALIFAX-1",6830,7430,,,Lib,Con,Other
10,NS,39,"HALIFAX-2",6472,7277,,,Lib,Con,Other
10,NS,40,"HANTS",1957,2033,,,Lib,Con,Other
10,NS,41,"INVERNESS",1485,1963,1653,,Lib,Other,Con
10,NS,42,"KINGS",1427,2594,,,Lib,Con,Other
10,NS,43,"LUNENBURG",2822,3274,,,Lib,Con,Other
10,NS,44,"NORTH CAPE BRETON AND VICTORIA",2519,2583,,,Lib,Con,Other
10,NS,45,"PICTOU",3716,4148,,,Lib,Con,Other
10,NS,46,"RICHMOND",888,1270,,,Lib,Con,Other
10,NS,47,"SHELBURNE AND QUEEN'S",1917,2302,,,Lib,Con,Other
10,NS,48,"YARMOUTH",1524,1883,,,Lib,Con,Other
10,NT,49,"ALBERTA (PROVISIONAL DISTRICT)",,1677,,1755,PC,Lib,Other
10,NT,50,"ASSINIBOIA EAST",3036,3770,,,Lib,Con,Other
10,NT,51,"ASSINIBOIA WEST",2865,3647,,,Lib,Con,Other
10,NT,52,"CALGARY",2993,2545,,,Con,Lib,Other
10,NT,53,"EDMONTON",1526,3535,,,Lib,Con,Other
10,NT,54,"HUMBOLDT",581,1218,,,Lib,Con,Other
10,NT,55,"MACKENZIE",556,1933,6,,Lib,Con,Other
10,NT,56,"QU'APPELLE",2830,2802,,,Con,Lib,Other
10,NT,57,"SASKATCHEWAN (PROVISIONAL DISTRICT)",1347,2183,,,Lib,Con,Other
10,NT,58,"STRATHCONA",1878,3863,130,,Lib,Con,Other
10,ON,59,"ALGOMA EAST",2120,2698,,,Lib,Con,Other
10,ON,60,"ALGOMA WEST",1675,1580,,,Con,Lib,Other
10,ON,61,"BRANT",,1628,1158,,Lib,Other,Con
10,ON,62,"BRANTFORD",2383,2368,,,Con,Lib,Other
10,ON,63,"BROCKVILLE",2013,2217,,,Lib,Con,Other
10,ON,64,"BRUCE NORTH",,2725,,2832,PC,Lib,Other
10,ON,65,"BRUCE SOUTH",2938,3082,,,Lib,Con,Other
10,ON,66,"CARLETON",2055,1178,,,Con,Lib,Other
10,ON,67,"DUFFERIN",2100,,814,,Con,Other,Lib
10,ON,68,"DUNDAS",2366,1945,,,Con,Lib,Other
10,ON,69,"DURHAM",3322,3173,,,Con,Lib,Other
10,ON,70,"ELGIN EAST",,2082,,2103,PC,Lib,Other
10,ON,71,"ELGIN WEST",3082,2695,,,Con,Lib,Other
10,ON,72,"ESSEX NORTH",2669,3037,,,Lib,Con,Other
10,ON,73,"ESSEX SOUTH",2780,3193,,,Lib,Con,Other
10,ON,74,"FRONTENAC",2341,2020,,,Con,Lib,Other
10,ON,75,"GLENGARRY",1899,2349,,,Lib,Con,Other
10,ON,76,"GRENVILLE",2239,1607,,,Con,Lib,Other
10,ON,77,"GREY EAST",2209,1527,,,Con,Lib,Other
10,ON,78,"GREY NORTH",2952,2975,,,Lib,Con,Other
10,ON,79,"GREY SOUTH",1911,2227,,,Lib,Con,Other
10,ON,80,"HALDIMAND",2548,2289,,,Con,Lib,Other
10,ON,81,"HALTON",2288,,2148,,Con,Other,Lib
10,ON,82,"HAMILTON EAST",2786,2580,,,Con,Lib,Other
10,ON,83,"HAMILTON WEST",3108,3345,,,Lib,Con,Other
10,ON,84,"HASTINGS EAST",2961,,2633,,Con,Other,Lib
10,ON,85,"HASTINGS WEST",3240,2361,,,Con,Lib,Other
10,ON,86,"HURON EAST",2189,2005,,,Con,Lib,Other
10,ON,87,"HURON SOUTH",2532,2421,,,Con,Lib,Other
10,ON,88,"HURON WEST",2263,2150,,,Con,Lib,Other
10,ON,89,"KENT EAST",2476,2848,,,Lib,Con,Other
10,ON,90,"KENT WEST",3652,3531,,,Con,Lib,Other
10,ON,91,"KINGSTON",1735,2267,55,,Lib,Con,Other
10,ON,92,"LAMBTON EAST",3026,2565,,,Con,Lib,Other
10,ON,93,"LAMBTON WEST",2952,3399,,,Lib,Con,Other
10,ON,94,"LANARK NORTH",1656,1709,,,Lib,Con,Other
10,ON,95,"LANARK SOUTH",2075,1185,,,Con,Lib,Other
10,ON,96,"LEEDS",2175,1506,,,Con,Lib,Other
10,ON,97,"LENNOX AND ADDINGTON",2650,2161,,,Con,Lib,Other
10,ON,98,"LINCOLN",3558,3240,,,Con,Lib,Other
10,ON,99,"LONDON",4278,4302,,,Lib,Con,Other
10,ON,100,"MIDDLESEX EAST",2297,2078,,,Con,Lib,Other
10,ON,101,"MIDDLESEX NORTH",,3492,,,Lib,Other,Con
10,ON,102,"MIDDLESEX WEST",1790,1996,,,Lib,Con,Other
10,ON,103,"MUSKOKA",2121,1653,,,Con,Lib,Other
10,ON,104,"NIPISSING",2559,2747,,,Lib,Con,Other
10,ON,105,"NORFOLK",3336,3150,,,Con,Lib,Other
10,ON,106,"NORTHUMBERLAND EAST",2402,2196,,,Con,Lib,Other
10,ON,107,"NORTHUMBERLAND WEST",1357,1501,,,Lib,Con,Other
10,ON,108,"ONTARIO NORTH",2023,2161,,,Lib,Con,Other
10,ON,109,"ONTARIO SOUTH",2544,2439,,,Con,Lib,Other
10,ON,110,"OTTAWA (CITY OF)-1",4547,5871,,,Lib,Con,Other
10,ON,111,"OTTAWA (CITY OF)-2",4818,6275,,,Lib,Con,Other
10,ON,112,"OXFORD NORTH",1266,2768,,,Lib,Con,Other
10,ON,113,"OXFORD SOUTH",2070,2565,,,Lib,Con,Other
10,ON,114,"PARRY SOUND",2035,2410,,,Lib,Con,Other
10,ON,115,"PEEL",2640,2524,,,Con,Lib,Other
10,ON,116,"PERTH NORTH",3618,3298,,,Con,Lib,Other
10,ON,117,"PERTH SOUTH",2310,2454,,,Lib,Con,Other
10,ON,118,"PETERBOROUGH EAST",1518,1588,,,Lib,Con,Other
10,ON,119,"PETERBOROUGH WEST",2280,2467,,,Lib,Con,Other
10,ON,120,"PRESCOTT",1323,2388,,,Lib,Con,Other
10,ON,121,"PRINCE EDWARD",2253,2107,,,Con,Lib,Other
10,ON,122,"RENFREW NORTH",2495,2275,,,Con,Lib,Other
10,ON,123,"RENFREW SOUTH",1980,2168,,,Lib,Con,Other
10,ON,124,"RUSSELL",2357,3305,66,,Lib,Con,Other
10,ON,125,"SIMCOE EAST",3116,2743,,,Con,Lib,Other
10,ON,126,"SIMCOE NORTH",2444,,2486,,Other,Con,Lib
10,ON,127,"SIMCOE SOUTH",1702,1643,,,Con,Lib,Other
10,ON,128,"STORMONT",2700,2589,,,Con,Lib,Other
10,ON,129,"THUNDER BAY AND RAINY RIVER",1734,2162,638,,Lib,Con,Other
10,ON,130,"TORONTO CENTRE",4320,3935,,,Con,Lib,Other
10,ON,131,"TORONTO EAST",4125,1993,,,Con,Lib,Other
10,ON,132,"TORONTO NORTH",4422,4310,,,Con,Lib,Other
10,ON,133,"TORONTO SOUTH",3501,3092,,,Con,Lib,Other
10,ON,134,"TORONTO WEST",4464,2573,,,Con,Lib,Other
10,ON,135,"VICTORIA",,,3782,4085,PC,Other,Con
10,ON,136,"WATERLOO NORTH",2769,2463,,,Con,Lib,Other
10,ON,137,"WATERLOO SOUTH",2785,2420,,,Con,Lib,Other
10,ON,138,"WELLAND",,3543,2621,,Lib,Other,Con
10,ON,139,"WELLINGTON NORTH",2541,2849,,,Lib,Con,Other
10,ON,140,"WELLINGTON SOUTH",3315,3694,,,Lib,Con,Other
10,ON,141,"WENTWORTH",2899,2889,,,Con,Lib,Other
10,ON,142,"YORK CENTRE",2146,2222,,,Lib,Con,Other
10,ON,143,"YORK NORTH",1688,2650,,,Lib,Con,Other
10,ON,144,"YORK SOUTH",,,4208,,Other,Con,Lib
10,PE,145,"KING'S",2596,2653,,,Lib,Con,Other
10,PE,146,"PRINCE",3501,3408,,,Con,Lib,Other
10,PE,147,"QUEEN'S-1",4367,4094,,,Con,Lib,Other
10,PE,148,"QUEEN'S-2",4522,4286,,,Con,Lib,Other
10,QC,149,"ARGENTEUIL",1516,1340,,,Con,Lib,Other
10,QC,150,"BAGOT",1489,1832,,,Lib,Con,Other
10,QC,151,"BEAUCE",1311,3601,,,Lib,Con,Other
10,QC,152,"BEAUHARNOIS",2075,1828,,,Con,Lib,Other
10,QC,153,"BELLECHASSE",957,1819,,,Lib,Con,Other
10,QC,154,"BERTHIER",1498,1707,,,Lib,Con,Other
10,QC,155,"BONAVENTURE",1388,2280,,,Lib,Con,Other
10,QC,156,"BROME",941,1821,,,Lib,Con,Other
10,QC,157,"CHAMBLY--VERCHÈRES",1961,2493,,,Lib,Con,Other
10,QC,158,"CHAMPLAIN",2623,2934,,,Lib,Con,Other
10,QC,159,"CHARLEVOIX",1684,1601,,,Con,Lib,Other
10,QC,160,"CHICOUTIMI--SAGUENAY",4448,,2857,,Con,Other,Lib
10,QC,161,"CHÂTEAUGUAY",906,1370,,,Lib,Con,Other
10,QC,162,"COMPTON",2440,2735,,,Lib,Con,Other
10,QC,163,"DORCHESTER",1773,,1429,,Con,Other,Lib
10,QC,164,"DRUMMOND--ARTHABASKA",1277,3753,,,Lib,Con,Other
10,QC,165,"GASPÉ",,,,,Other,Con,Lib
10,QC,166,"HOCHELAGA",4381,4974,,,Lib,Con,Other
10,QC,167,"HUNTINGDON",1274,1131,,,Con,Lib,Other
10,QC,168,"JACQUES CARTIER",3095,2755,,,Con,Lib,Other
10,QC,169,"JOLIETTE",1752,1972,,,Lib,Con,Other
10,QC,170,"KAMOURASKA",1419,1635,,,Lib,Con,Other
10,QC,171,"L'ASSOMPTION",,,,,Other,Con,Lib
10,QC,172,"L'ISLET",1195,1038,,,Con,Lib,Other
10,QC,173,"LABELLE",1147,2640,399,,Lib,Con,Other
10,QC,174,"LAPRAIRIE--NAPIERVILLE",1561,1797,,,Lib,Con,Other
10,QC,175,"LAVAL",1842,1798,,,Con,Lib,Other
10,QC,176,"LOTBINIÈRE",799,1670,,,Lib,Con,Other
10,QC,177,"LÉVIS",1677,2642,,,Lib,Con,Other
10,QC,178,"MAISONNEUVE",3795,5967,,,Lib,Con,Other
10,QC,179,"MASKINONGÉ",1188,1480,22,,Lib,Con,Other
10,QC,180,"MISSISQUOI",1714,1848,,,Lib,Con,Other
10,QC,181,"MONTCALM",1079,1227,,,Lib,Con,Other
