election_id,prov_code,ed_id,ed_name,Con,Lib,Other,Progressive,1st,2nd,3rd
15,AB,1,"ACADIA",1481,1552,,5362,Progressive,Lib,Con
15,AB,2,"ATHABASKA",643,5078,,3648,Lib,Progressive,Con
15,AB,3,"BATTLE RIVER",1634,1690,,5067,Progressive,Lib,Con
15,AB,4,"BOW RIVER",2075,2917,,3773,Progressive,Lib,Con
15,AB,5,"CALGARY EAST",5560,2519,3710,,Con,Other,Lib
15,AB,6,"CALGARY WEST",10256,,6040,,Con,Other,Lib
15,AB,7,"CAMROSE",1409,1885,4202,,Other,Lib,Con
15,AB,8,"EDMONTON EAST",3927,3440,2767,,Con,Lib,Other
15,AB,9,"EDMONTON WEST",4706,6394,2007,,Lib,Con,Other
15,AB,10,"LETHBRIDGE",4656,,,5399,Progressive,Con,Other
15,AB,11,"MACLEOD",4239,1941,,4943,Progressive,Con,Lib
15,AB,12,"MEDICINE HAT",2397,4383,,2039,Lib,Con,Progressive
15,AB,13,"PEACE RIVER",3969,3944,,3986,Progressive,Con,Lib
15,AB,14,"RED DEER",2029,2462,3851,,Other,Lib,Con
15,AB,15,"VEGREVILLE",,2643,,5103,Progressive,Lib,Other
15,AB,16,"WETASKIWIN",2121,3429,,3201,Lib,Progressive,Con
15,BC,17,"CARIBOO",6430,,,5534,Con,Progressive,Other
15,BC,18,"COMOX--ALBERNI",2247,,4794,,Other,Con,Lib
15,BC,19,"FRASER VALLEY",5751,4485,,,Con,Lib,Other
15,BC,20,"KOOTENAY EAST",3495,4446,,,Lib,Con,Other
15,BC,21,"KOOTENAY WEST",5720,,,4779,Con,Progressive,Other
15,BC,22,"NANAIMO",9584,6117,1888,,Con,Lib,Other
15,BC,23,"NEW WESTMINSTER",7714,7013,3305,,Con,Lib,Other
15,BC,24,"SKEENA",2940,3633,,765,Lib,Con,Progressive
15,BC,25,"VANCOUVER CENTRE",9458,8277,1777,,Con,Lib,Other
15,BC,26,"VANCOUVER NORTH",3694,4279,1384,,Lib,Con,Other
15,BC,27,"VANCOUVER SOUTH",8587,6797,2783,,Con,Lib,Other
15,BC,28,"VANCOUVER--BURRARD",9897,8840,2230,,Con,Lib,Other
15,BC,29,"VICTORIA",6926,4617,,,Con,Lib,Other
15,BC,30,"YALE",7573,4870,,,Con,Lib,Other
15,MB,31,"BRANDON",5428,,,6411,Progressive,Con,Other
15,MB,32,"DAUPHIN",4883,,,5102,Progressive,Con,Other
15,MB,33,"LISGAR",2736,,,3112,Progressive,Con,Other
15,MB,34,"MACDONALD",3293,,,5346,Progressive,Con,Other
15,MB,35,"MARQUETTE",4219,1665,,4084,Con,Progressive,Lib
15,MB,36,"NEEPAWA",3461,1809,,3332,Con,Progressive,Lib
15,MB,37,"NELSON",2143,,,2485,Progressive,Con,Other
15,MB,38,"PORTAGE LA PRAIRIE",5817,,,4966,Con,Progressive,Other
15,MB,39,"PROVENCHER",,2656,,2736,Progressive,Lib,Other
15,MB,40,"SELKIRK",3831,2524,3319,,Con,Other,Lib
15,MB,41,"SOURIS",3258,1563,,3509,Progressive,Con,Lib
15,MB,42,"SPRINGFIELD",2259,1724,,1665,Con,Lib,Progressive
15,MB,43,"ST. BONIFACE",2442,4819,2901,,Lib,Other,Con
15,MB,44,"WINNIPEG NORTH",3882,3573,4781,,Other,Con,Lib
15,MB,45,"WINNIPEG NORTH CENTRE",3578,1689,4794,,Other,Con,Lib
15,MB,46,"WINNIPEG SOUTH",7017,5400,3206,,Con,Lib,Other
15,MB,47,"WINNIPEG SOUTH CENTRE",12094,7132,3643,,Con,Lib,Other
15,NB,48,"CHARLOTTE",5426,3274,,,Con,Lib,Other
15,NB,49,"GLOUCESTER",5272,6254,,,Lib,Con,Other
15,NB,50,"KENT",4427,3534,,,Con,Lib,Other
15,NB,51,"NORTHUMBERLAND",5331,3779,,,Con,Lib,Other
15,NB,52,"RESTIGOUCHE--MADAWASKA",6374,4904,,,Con,Lib,Other
15,NB,53,"ROYAL",7485,5614,,,Con,Lib,Other
15,NB,54,"ST. JOHN--ALBERT-1",14250,8435,,,Con,Lib,Other
15,NB,55,"ST. JOHN--ALBERT-2",14623,9348,,,Con,Lib,Other
15,NB,56,"VICTORIA--CARLETON",6859,,5042,,Con,Other,Lib
15,NB,57,"WESTMORLAND",11806,7780,,,Con,Lib,Other
15,NB,58,"YORK--SUNBURY",8636,3207,,,Con,Lib,Other
15,NS,59,"ANTIGONISH--GUYSBOROUGH",5545,6135,,,Lib,Con,Other
15,NS,60,"CAPE BRETON NORTH--VICTORIA",6873,4309,,,Con,Lib,Other
15,NS,61,"CAPE BRETON SOUTH",9551,4510,3617,,Con,Lib,Other
15,NS,62,"COLCHESTER",6405,3394,,,Con,Lib,Other
15,NS,63,"CUMBERLAND",8492,6291,,,Con,Lib,Other
15,NS,64,"DIGBY--ANNAPOLIS",7599,7219,,,Con,Lib,Other
15,NS,65,"HALIFAX-1",17996,10609,,,Con,Lib,Other
15,NS,66,"HALIFAX-2",18796,10815,,,Con,Lib,Other
15,NS,67,"HANTS--KINGS",10168,9110,,,Con,Lib,Other
15,NS,68,"INVERNESS",5030,3807,,,Con,Lib,Other
15,NS,69,"PICTOU",9693,7731,,,Con,Lib,Other
15,NS,70,"QUEENS--LUNENBURG",8846,9219,,,Lib,Con,Other
15,NS,71,"RICHMOND--WEST CAPE BRETON",3962,3252,,,Con,Lib,Other
15,NS,72,"SHELBURNE--YARMOUTH",6327,6709,,,Lib,Con,Other
15,ON,73,"ALGOMA EAST",6209,5665,,,Con,Lib,Other
15,ON,74,"ALGOMA WEST",6767,3574,,,Con,Lib,Other
15,ON,75,"BRANT",4151,,,3173,Con,Progressive,Other
15,ON,76,"BRANTFORD CITY",7395,4952,,,Con,Lib,Other
15,ON,77,"BRUCE NORTH",3646,3839,,2351,Lib,Con,Progressive
15,ON,78,"BRUCE SOUTH",3362,3965,,2128,Lib,Con,Progressive
15,ON,79,"CARLETON",7757,5748,,,Con,Lib,Other
15,ON,80,"DUFFERIN--SIMCOE",8942,,,5936,Con,Progressive,Other
15,ON,81,"DURHAM",7020,6074,,,Con,Lib,Other
15,ON,82,"ELGIN WEST",8360,6535,,,Con,Lib,Other
15,ON,83,"ESSEX EAST",6052,5855,,,Con,Lib,Other
15,ON,84,"ESSEX SOUTH",6851,6017,,,Con,Lib,Other
15,ON,85,"ESSEX WEST",11029,8508,,,Con,Lib,Other
15,ON,86,"FORT WILLIAM",6205,2830,,,Con,Lib,Other
15,ON,87,"FRONTENAC--ADDINGTON",7322,,,4554,Con,Progressive,Other
15,ON,88,"GLENGARRY",2628,2785,,2519,Lib,Con,Progressive
15,ON,89,"GRENVILLE--DUNDAS",8175,5221,,,Con,Lib,Other
15,ON,90,"GREY NORTH",6861,,,6415,Con,Progressive,Other
15,ON,91,"GREY SOUTHEAST",5245,,,6652,Progressive,Con,Other
15,ON,92,"HALDIMAND",5415,4266,,,Con,Lib,Other
15,ON,93,"HALTON",6775,5424,,,Con,Lib,Other
15,ON,94,"HAMILTON EAST",15669,2205,2286,,Con,Other,Lib
15,ON,95,"HAMILTON WEST",13875,2651,,,Con,Lib,Other
15,ON,96,"HASTINGS SOUTH",10448,7837,,,Con,Lib,Other
15,ON,97,"HASTINGS--PETERBOROUGH",6511,,,3747,Con,Progressive,Other
