election_id,prov_code,ed_id,ed_name,CCF,Con,Lib,NDP,Other,PC,SoCred,1st,2nd,3rd
19,AB,1,"ACADIA",802,,3740,,,,3767,SoCred,Lib,CCF
19,AB,2,"ATHABASKA",2052,,5961,,,,4817,Lib,SoCred,CCF
19,AB,3,"BATTLE RIVER",3401,,3808,,,,5045,SoCred,Lib,CCF
19,AB,4,"BOW RIVER",2197,,4050,,847,3248,5410,SoCred,Lib,PC
19,AB,5,"CALGARY EAST",4986,,5815,,,4987,5330,Lib,SoCred,PC
19,AB,6,"CALGARY WEST",1444,,7299,,,6896,4159,Lib,PC,SoCred
19,AB,7,"CAMROSE",2065,,4443,,,,6359,SoCred,Lib,CCF
19,AB,8,"EDMONTON EAST",1962,,8948,,,2302,7279,Lib,SoCred,PC
19,AB,9,"EDMONTON WEST",1616,,12350,,,4054,3695,Lib,PC,SoCred
19,AB,10,"JASPER--EDSON",2102,,6283,,,1835,6363,SoCred,Lib,CCF
19,AB,11,"LETHBRIDGE",,,5538,,,3605,6362,SoCred,Lib,PC
19,AB,12,"MACLEOD",2180,,4829,,,3039,6655,SoCred,Lib,PC
19,AB,13,"MEDICINE HAT",,,9439,,,,5524,Lib,SoCred,CCF
19,AB,14,"PEACE RIVER",3307,,6426,,488,,5347,Lib,SoCred,CCF
19,AB,15,"RED DEER",2771,,4134,,,2694,5583,SoCred,Lib,CCF
19,AB,16,"VEGREVILLE",1658,,4605,,2727,,5083,SoCred,Lib,Other
19,AB,17,"WETASKIWIN",2539,,4392,,,2456,6245,SoCred,Lib,CCF
19,BC,18,"CARIBOO",5070,,6063,,,2354,,Lib,CCF,PC
19,BC,19,"COMOX--ALBERNI",3835,,,,10156,,,Other,CCF,Con
19,BC,20,"FRASER VALLEY",2877,,6638,,,6211,,Lib,PC,CCF
19,BC,21,"KAMLOOPS",3538,,5621,,,4290,,Lib,PC,CCF
19,BC,22,"KOOTENAY EAST",4202,,3974,,,4395,,PC,CCF,Lib
19,BC,23,"KOOTENAY WEST",6389,,4137,,,6771,,PC,CCF,Lib
19,BC,24,"NANAIMO",6252,,10668,,181,7518,506,Lib,PC,CCF
19,BC,25,"NEW WESTMINSTER",9837,,15287,,,9372,,Lib,CCF,PC
19,BC,26,"SKEENA",2845,,4980,,145,1472,,Lib,CCF,PC
19,BC,27,"VANCOUVER CENTRE",8427,,12100,,1038,9338,,Lib,PC,CCF
