election_id,prov_code,ed_id,ed_name,CCF,Lib,Other,PC,SoCred,1st,2nd,3rd
20,AB,1,"ACADIA",1903,2035,,1211,5556,SoCred,Lib,CCF
20,AB,2,"ATHABASKA",1756,5301,1564,1375,4823,Lib,SoCred,CCF
20,AB,3,"BATTLE RIVER",2604,1722,790,1661,6250,SoCred,CCF,Lib
20,AB,4,"BOW RIVER",3386,2091,1149,3917,6569,SoCred,PC,CCF
20,AB,5,"CALGARY EAST",5646,4771,672,7799,5854,PC,SoCred,CCF
20,AB,6,"CALGARY WEST",3641,5011,791,8872,4766,PC,Lib,SoCred
20,AB,7,"CAMROSE",4045,2501,,1880,7194,SoCred,CCF,Lib
20,AB,8,"EDMONTON EAST",5833,5313,1223,4115,8214,SoCred,CCF,Lib
20,AB,9,"EDMONTON WEST",4112,8562,524,6002,6565,Lib,SoCred,PC
20,AB,10,"JASPER--EDSON",4829,4663,876,1902,7313,SoCred,CCF,Lib
20,AB,11,"LETHBRIDGE",2165,3820,439,2985,7250,SoCred,Lib,PC
20,AB,12,"MACLEOD",2569,2620,1613,3924,6342,SoCred,PC,Lib
20,AB,13,"MEDICINE HAT",2301,4631,,2647,6752,SoCred,Lib,PC
20,AB,14,"PEACE RIVER",3666,4109,,2732,7319,SoCred,Lib,CCF
20,AB,15,"RED DEER",2984,2666,677,3636,8653,SoCred,PC,CCF
20,AB,16,"VEGREVILLE",1668,4806,3272,,7146,SoCred,Lib,Other
20,AB,17,"WETASKIWIN",3969,3040,546,3419,7255,SoCred,CCF,PC
20,BC,18,"CARIBOO",5773,4841,,2490,1080,CCF,Lib,PC
20,BC,19,"COMOX--ALBERNI",4692,,12027,,,Other,CCF,Lib
20,BC,20,"FRASER VALLEY",5377,7629,,6102,,Lib,PC,CCF
20,BC,21,"KAMLOOPS",4003,4229,666,4401,,PC,Lib,CCF
20,BC,22,"KOOTENAY EAST",4712,3189,1632,2640,613,CCF,Lib,PC
20,BC,23,"KOOTENAY WEST",1611,3802,6123,4938,,Other,PC,Lib
20,BC,24,"NANAIMO",9542,8223,2707,11181,,PC,CCF,Lib
20,BC,25,"NEW WESTMINSTER",12229,14158,2955,11133,1403,Lib,CCF,PC
20,BC,26,"SKEENA",4079,3333,1479,2184,,CCF,Lib,PC
20,BC,27,"VANCOUVER CENTRE",9145,9959,4462,8859,1042,Lib,CCF,PC
