election_id,prov_code,ed_id,ed_name,Lib,NDP,Other,PC,SoCred,1st,2nd,3rd
31,AB,1,"ATHABASCA",7843,2770,,15978,645,PC,Lib,NDP
31,AB,2,"BOW RIVER",4633,2200,8378,25973,,PC,Other,Lib
31,AB,3,"CALGARY CENTRE",10555,4095,140,22124,522,PC,Lib,NDP
31,AB,4,"CALGARY EAST",11019,5172,1199,28320,805,PC,Lib,NDP
31,AB,5,"CALGARY NORTH",10794,4227,,27994,552,PC,Lib,NDP
31,AB,6,"CALGARY SOUTH",14839,3584,174,37900,460,PC,Lib,NDP
31,AB,7,"CALGARY WEST",10762,3694,104,28474,512,PC,Lib,NDP
31,AB,8,"CROWFOOT",5947,1529,,25202,,PC,Lib,NDP
31,AB,9,"EDMONTON EAST",9253,5154,252,18699,,PC,Lib,NDP
31,AB,10,"EDMONTON NORTH",10259,5673,122,24618,,PC,Lib,NDP
31,AB,11,"EDMONTON SOUTH",13221,5401,,27713,,PC,Lib,NDP
31,AB,12,"EDMONTON WEST",12222,4624,215,21423,,PC,Lib,NDP
31,AB,13,"EDMONTON--STRATHCONA",12471,5352,193,26430,,PC,Lib,NDP
31,AB,14,"LETHBRIDGE--FOOTHILLS",7345,3720,174,29069,1282,PC,Lib,NDP
31,AB,15,"MEDICINE HAT",6630,3053,,28893,1412,PC,Lib,NDP
31,AB,16,"PEACE RIVER",6312,5801,,20748,,PC,Lib,NDP
31,AB,17,"PEMBINA",11877,4953,,33722,,PC,Lib,NDP
31,AB,18,"RED DEER",6338,2856,,33226,1974,PC,Lib,NDP
31,AB,19,"VEGREVILLE",3848,3191,264,26448,,PC,Lib,NDP
31,AB,20,"WETASKIWIN",5044,3587,,27785,,PC,Lib,NDP
31,AB,21,"YELLOWHEAD",7083,3600,1678,28849,,PC,Lib,NDP
31,BC,22,"BURNABY",12099,20604,,19119,,NDP,PC,Lib
31,BC,23,"CAPILANO",11542,6639,332,27099,,PC,Lib,NDP
31,BC,24,"CARIBOO--CHILCOTIN",7477,8273,,12767,1363,PC,NDP,Lib
31,BC,25,"COMOX--POWELL RIVER",9910,22075,314,17556,,NDP,PC,Lib
31,BC,26,"COWICHAN--MALAHAT--THE ISLANDS",7075,17471,133,19025,,PC,NDP,Lib
31,BC,27,"ESQUIMALT--SAANICH",8154,15862,836,29791,,PC,NDP,Lib
31,BC,28,"FRASER VALLEY EAST",8910,9126,293,24363,,PC,NDP,Lib
31,BC,29,"FRASER VALLEY WEST",7235,15322,156,26892,,PC,NDP,Lib
31,BC,30,"KAMLOOPS--SHUSWAP",12720,12193,,19369,,PC,Lib,NDP
31,BC,31,"KOOTENAY EAST--REVELSTOKE",7658,11107,,12904,,PC,NDP,Lib
31,BC,32,"KOOTENAY WEST",3616,11503,119,13645,,PC,NDP,Lib
31,BC,33,"MISSION--PORT MOODY",8078,20847,152,18486,,NDP,PC,Lib
31,BC,34,"NANAIMO--ALBERNI",10385,21304,273,16478,,NDP,PC,Lib
31,BC,35,"NEW WESTMINSTER--COQUITLAM",8559,19301,221,15358,,NDP,PC,Lib
31,BC,36,"NORTH VANCOUVER--BURNABY",14377,12084,141,16545,188,PC,Lib,NDP
31,BC,37,"OKANAGAN NORTH",13091,11951,,26560,,PC,Lib,NDP
31,BC,38,"OKANAGAN--SIMILKAMEEN",9421,11715,249,21008,,PC,NDP,Lib
31,BC,39,"PRINCE GEORGE--BULKLEY VALLEY",7862,8521,1531,13300,,PC,NDP,Lib
31,BC,40,"PRINCE GEORGE--PEACE RIVER",4957,5478,,16288,,PC,NDP,Lib
31,BC,41,"RICHMOND--SOUTH DELTA",12003,13524,209,30262,,PC,NDP,Lib
31,BC,42,"SKEENA",10381,10996,479,4437,,NDP,Lib,PC
31,BC,43,"SURREY--WHITE ROCK--NORTH DELTA",8837,17992,265,30009,,PC,NDP,Lib
31,BC,44,"VANCOUVER CENTRE",15430,13350,426,15335,,Lib,PC,NDP
31,BC,45,"VANCOUVER EAST",12522,13697,214,5304,334,NDP,Lib,PC
31,BC,46,"VANCOUVER KINGSWAY",11503,15928,253,7900,,NDP,Lib,PC
31,BC,47,"VANCOUVER QUADRA",12820,10665,245,19869,,PC,Lib,NDP
31,BC,48,"VANCOUVER SOUTH",10558,8806,91,22653,,PC,Lib,NDP
31,BC,49,"VICTORIA",7766,15344,91,28058,,PC,NDP,Lib
31,MB,50,"BRANDON--SOURIS",7918,8949,,19108,302,PC,NDP,Lib
31,MB,51,"CHURCHILL",3936,12544,,7802,,NDP,PC,Lib
31,MB,52,"DAUPHIN",4311,11770,,12239,,PC,NDP,Lib
31,MB,53,"LISGAR",6201,2920,,21366,,PC,Lib,NDP
31,MB,54,"PORTAGE--MARQUETTE",6164,6612,319,18824,347,PC,NDP,Lib
31,MB,55,"PROVENCHER",7459,8473,,17030,,PC,NDP,Lib
31,MB,56,"SELKIRK--INTERLAKE",5522,14225,,13569,,NDP,PC,Lib
31,MB,57,"ST. BONIFACE",19752,11455,116,16987,,Lib,PC,NDP
31,MB,58,"WINNIPEG NORTH",8002,22417,383,11749,,NDP,PC,Lib
31,MB,59,"WINNIPEG NORTH CENTRE",5428,15121,279,5408,,NDP,Lib,PC
31,MB,60,"WINNIPEG--ASSINIBOINE",13668,7949,72,28192,150,PC,Lib,NDP
31,MB,61,"WINNIPEG--BIRDS HILL",5674,25492,118,19536,,NDP,PC,Lib
31,MB,62,"WINNIPEG--FORT GARRY",18822,8176,177,18337,245,Lib,PC,NDP
31,MB,63,"WINNIPEG--ST. JAMES",7636,11747,135,12640,,PC,NDP,Lib
31,NB,64,"CARLETON--CHARLOTTE",9308,3971,,16603,,PC,Lib,NDP
31,NB,65,"FUNDY--ROYAL",13589,7746,,19135,,PC,Lib,NDP
31,NB,66,"GLOUCESTER",18387,3366,,13872,,Lib,PC,NDP
31,NB,67,"MADAWASKA--VICTORIA",15851,1620,,8171,,Lib,PC,NDP
31,NB,68,"MONCTON",20940,8936,,18446,,Lib,PC,NDP
31,NB,69,"NORTHUMBERLAND--MIRAMICHI",12893,4653,,9467,,Lib,PC,NDP
31,NB,70,"RESTIGOUCHE",14840,4718,,7009,,Lib,PC,NDP
31,NB,71,"SAINT JOHN",13316,6358,,13989,,PC,Lib,NDP
31,NB,72,"WESTMORLAND--KENT",19695,4609,,6584,,Lib,PC,NDP
31,NB,73,"YORK--SUNBURY",11815,5665,258,21722,,PC,Lib,NDP
31,NL,74,"BONAVISTA--TRINITY--CONCEPTION",11314,7448,,5943,,Lib,NDP,PC
31,NL,75,"BURIN--ST. GEORGE'S",14960,3943,,2366,,Lib,NDP,PC
31,NL,76,"GANDER--TWILLINGATE",15408,4460,,4727,,Lib,PC,NDP
31,NL,77,"GRAND FALLS--WHITE BAY--LABRADOR",13639,12538,,3418,,Lib,NDP,PC
31,NL,78,"HUMBER--PORT AU PORT--ST. BARBE",8782,15872,,5941,,NDP,Lib,PC
31,NL,79,"ST. JOHN'S EAST",7734,6684,,20262,,PC,Lib,NDP
31,NL,80,"ST. JOHN'S WEST",10024,9033,,17236,,PC,Lib,NDP
31,NS,81,"ANNAPOLIS VALLEY--HANTS",12001,8008,,20103,,PC,Lib,NDP
31,NS,82,"CAPE BRETON HIGHLANDS--CANSO",17047,4657,,13736,,Lib,PC,NDP
31,NS,83,"CAPE BRETON--EAST RICHMOND",10257,15269,734,7411,,NDP,Lib,PC
31,NS,84,"CAPE BRETON--THE SYDNEYS",12857,10310,128,12011,,Lib,PC,NDP
