election_id,prov_code,ed_id,ed_name,CCF,Grn,Lib,NDP,Other,PC,Reform,SoCred,1st,2nd,3rd
34,AB,1,"ATHABASCA",,,4031,8911,689,17248,1781,,PC,NDP,Lib
34,AB,2,"BEAVER RIVER",,,6528,6492,131,13768,4158,,PC,Lib,NDP
34,AB,3,"CALGARY CENTRE",,670,6280,10731,465,28794,6662,,PC,NDP,Reform
34,AB,4,"CALGARY NORTH",,,7925,7626,332,35212,9889,,PC,Reform,Lib
34,AB,5,"CALGARY NORTHEAST",,,7663,7319,296,25890,6155,,PC,Lib,NDP
34,AB,6,"CALGARY SOUTHEAST",,,5305,6837,558,32477,6648,,PC,NDP,Reform
34,AB,7,"CALGARY SOUTHWEST",,,7147,5024,1109,40397,8316,,PC,Reform,Lib
34,AB,8,"CALGARY WEST",,,6880,6355,395,32025,9074,,PC,Reform,Lib
34,AB,9,"CROWFOOT",,,2344,2725,,19079,11392,,PC,Reform,NDP
34,AB,10,"EDMONTON EAST",,,7167,15051,1062,14394,1728,,NDP,PC,Lib
34,AB,11,"EDMONTON NORTH",,,9270,15583,1046,19045,2630,,PC,NDP,Lib
34,AB,12,"EDMONTON NORTHWEST",,,6710,13198,405,15556,2956,,PC,NDP,Lib
34,AB,13,"EDMONTON SOUTHEAST",,184,10104,9161,244,23597,5192,,PC,Lib,NDP
34,AB,14,"EDMONTON SOUTHWEST",,,10375,8598,442,28931,5646,,PC,Lib,NDP
34,AB,15,"EDMONTON--STRATHCONA",,159,9672,13686,424,18088,12024,,PC,NDP,Reform
34,AB,16,"ELK ISLAND",,,3613,9046,123,19447,8131,,PC,NDP,Reform
34,AB,17,"LETHBRIDGE",,,8513,4489,2932,26750,3116,,PC,Lib,NDP
34,AB,18,"MACLEOD",,,3175,2884,84,16989,10498,,PC,Reform,Lib
34,AB,19,"MEDICINE HAT",,,5141,6453,1331,25114,4582,,PC,NDP,Lib
34,AB,20,"PEACE RIVER",,,5758,7389,,23363,6525,,PC,NDP,Reform
34,AB,21,"RED DEER",,,4593,5717,1358,24187,9560,,PC,Reform,NDP
34,AB,22,"ST. ALBERT",,,7140,8370,1285,19945,5955,,PC,NDP,Lib
34,AB,23,"VEGREVILLE",,,2926,6035,369,24561,3705,,PC,NDP,Reform
34,AB,24,"WETASKIWIN",,,3351,5741,3423,20090,7418,,PC,Reform,NDP
34,AB,25,"WILD ROSE",,,4209,3209,209,20054,13895,,PC,Reform,Lib
34,AB,26,"YELLOWHEAD",,,3987,6172,884,17847,11207,,PC,Reform,NDP
34,BC,27,"BURNABY--KINGSWAY",,231,12933,25150,871,17455,1552,,NDP,PC,Lib
34,BC,28,"CAPILANO--HOWE SOUND",,,12828,6174,465,20219,3531,,PC,Lib,NDP
34,BC,29,"CARIBOO--CHILCOTIN",,,7886,11256,224,11525,530,,PC,NDP,Lib
34,BC,30,"COMOX--ALBERNI",,528,8182,21128,629,13959,4905,,NDP,PC,Lib
34,BC,31,"DELTA",,,8880,12995,1023,19755,1987,,PC,NDP,Lib
34,BC,32,"ESQUIMALT--JUAN DE FUCA",,444,5332,22644,250,11162,4637,,NDP,PC,Lib
