election_id,prov_code,ed_id,ed_name,Bloc,Grn,Lib,NDP,Other,PC,Reform,1st,2nd,3rd
36,AB,1,"ATHABASCA",,405,8066,1262,,2459,14673,Reform,Lib,PC
36,AB,2,"CALGARY CENTRE",,893,16231,3011,440,9230,19936,Reform,Lib,PC
36,AB,3,"CALGARY EAST",,,6766,1926,329,7306,13348,Reform,PC,Lib
36,AB,4,"CALGARY NORTHEAST",,,8646,1209,1531,5815,18719,Reform,Lib,PC
36,AB,5,"CALGARY SOUTHEAST",,,8131,1176,235,10567,24602,Reform,PC,Lib
36,AB,6,"CALGARY SOUTHWEST",,310,9706,1322,264,8617,27912,Reform,Lib,PC
36,AB,7,"CALGARY WEST",,557,15277,2105,293,9594,24878,Reform,Lib,PC
36,AB,8,"CALGARY--NOSE HILL",,637,12565,1883,237,8678,25788,Reform,Lib,PC
36,AB,9,"CROWFOOT",,,4185,1635,,6679,30589,Reform,PC,Lib
36,AB,10,"EDMONTON EAST",,211,12005,4096,394,2535,15475,Reform,Lib,NDP
36,AB,11,"EDMONTON NORTH",,,11820,5413,226,2811,16124,Reform,Lib,NDP
36,AB,12,"EDMONTON SOUTHEAST",,,14745,1882,152,1994,13295,Lib,Reform,PC
36,AB,13,"EDMONTON SOUTHWEST",,,14833,2070,205,4403,22697,Reform,Lib,PC
36,AB,14,"EDMONTON WEST",,210,17802,3386,265,2919,16392,Lib,Reform,NDP
36,AB,15,"EDMONTON--STRATHCONA",,406,17654,7251,360,3614,20605,Reform,Lib,NDP
36,AB,16,"ELK ISLAND",,,8536,2544,559,5416,26276,Reform,Lib,PC
36,AB,17,"LAKELAND",,,6911,1737,321,6976,23214,Reform,PC,Lib
36,AB,18,"LETHBRIDGE",,,7887,2211,744,7436,22828,Reform,Lib,PC
36,AB,19,"MACLEOD",,,4137,1444,253,5555,24225,Reform,PC,Lib
36,AB,20,"MEDICINE HAT",,,6079,1719,,4219,22761,Reform,Lib,PC
36,AB,21,"PEACE RIVER",,,7241,2226,,6104,22351,Reform,Lib,PC
36,AB,22,"RED DEER",,,4785,1660,227,6566,28622,Reform,PC,Lib
36,AB,23,"ST. ALBERT",,,12537,2172,354,4645,24269,Reform,Lib,PC
36,AB,24,"WETASKIWIN",,,5692,1940,734,5282,26443,Reform,Lib,PC
36,AB,25,"WILD ROSE",,692,5428,1594,,8506,28569,Reform,PC,Lib
36,AB,26,"YELLOWHEAD",,,6318,1759,,4383,22960,Reform,Lib,PC
36,BC,27,"BURNABY--DOUGLAS",,,11536,19058,403,1498,11743,NDP,Reform,Lib
36,BC,28,"CARIBOO--CHILCOTIN",,707,6493,4406,,3707,16008,Reform,Lib,NDP
36,BC,29,"DELTA--SOUTH RICHMOND",,,19071,4715,878,2829,23891,Reform,Lib,NDP
36,BC,30,"DEWDNEY--ALOUETTE",,634,10861,8296,410,2619,20446,Reform,Lib,NDP
36,BC,31,"ESQUIMALT--JUAN DE FUCA",,1181,12278,10400,572,2104,20370,Reform,Lib,NDP
36,BC,32,"FRASER VALLEY",,342,11569,4680,1260,1714,33101,Reform,Lib,NDP
36,BC,33,"KAMLOOPS",,437,14244,16138,,999,12928,NDP,Lib,Reform
36,BC,34,"KELOWNA",,1612,11306,3838,,8477,25246,Reform,Lib,PC
36,BC,35,"KOOTENAY--COLUMBIA",,786,6373,5133,,1479,22387,Reform,Lib,NDP
36,BC,36,"LANGLEY--ABBOTSFORD",,790,12733,3418,646,1800,31664,Reform,Lib,NDP
36,BC,37,"NANAIMO--ALBERNI",,650,10513,11162,282,2602,25069,Reform,NDP,Lib
36,BC,38,"NANAIMO--COWICHAN",,928,10663,13112,944,2131,22685,Reform,NDP,Lib
36,BC,39,"NEW WESTMINSTER--COQUITLAM--BURNABY",,691,13437,14067,253,1803,15915,Reform,NDP,Lib
36,BC,40,"NORTH VANCOUVER",,982,18806,5075,730,2740,27075,Reform,Lib,NDP
36,BC,41,"OKANAGAN--COQUIHALLA",,1008,12241,5441,520,2523,24570,Reform,Lib,NDP
36,BC,42,"OKANAGAN--SHUSWAP",,,11585,5839,1429,3160,24952,Reform,Lib,NDP
36,BC,43,"PORT MOODY--COQUITLAM",,695,15636,10444,190,2927,23113,Reform,Lib,NDP
36,BC,44,"PRINCE GEORGE--BULKLEY VALLEY",,507,7070,3935,615,2615,17505,Reform,Lib,NDP
36,BC,45,"PRINCE GEORGE--PEACE RIVER",,429,5683,2989,,1911,22270,Reform,Lib,NDP
36,BC,46,"RICHMOND",,565,18165,3964,421,3435,14912,Lib,Reform,NDP
36,BC,47,"SAANICH--GULF ISLANDS",,1546,17742,8080,482,4243,24275,Reform,Lib,NDP
36,BC,48,"SKEENA",,,6408,9863,864,1106,13402,Reform,NDP,Lib
36,BC,49,"SOUTH SURREY--WHITE ROCK--LANGLEY",,756,13810,3616,428,2068,25141,Reform,Lib,NDP
36,BC,50,"SURREY CENTRAL",,417,14595,7064,6495,4327,17461,Reform,Lib,NDP
36,BC,51,"SURREY NORTH",,280,9723,6579,690,1093,16158,Reform,Lib,NDP
36,BC,52,"VANCOUVER CENTRE",,1541,20878,10690,1806,4736,11567,Lib,Reform,NDP
36,BC,53,"VANCOUVER EAST",,1221,13123,14961,851,964,4287,NDP,Lib,Reform
36,BC,54,"VANCOUVER ISLAND NORTH",,1559,10024,11152,740,1650,22769,Reform,NDP,Lib
36,BC,55,"VANCOUVER KINGSWAY",,811,14182,10662,1459,1385,6412,Lib,NDP,Reform
36,BC,56,"VANCOUVER QUADRA",,1155,18847,4486,346,7546,12340,Lib,Reform,PC
36,BC,57,"VANCOUVER SOUTH--BURNABY",,633,16648,7467,362,2321,11598,Lib,Reform,NDP
36,BC,58,"VICTORIA",,2806,18130,11419,824,3589,15393,Lib,Reform,NDP
36,BC,59,"WEST KOOTENAY--OKANAGAN",,2455,7078,8869,904,2255,18954,Reform,NDP,Lib
36,BC,60,"WEST VANCOUVER--SUNSHINE COAST",,2318,17318,5988,254,4194,20092,Reform,Lib,NDP
36,MB,61,"BRANDON--SOURIS",,,6583,4983,473,13216,11883,PC,Reform,Lib
36,MB,62,"CHARLESWOOD--ASSINIBOINE",,,15925,3923,154,8664,8398,Lib,PC,Reform
36,MB,63,"CHURCHILL",,,6852,9616,,2452,4438,NDP,Lib,Reform
36,MB,64,"DAUPHIN--SWAN RIVER",,,7408,7575,326,7716,12668,Reform,PC,NDP
36,MB,65,"PORTAGE--LISGAR",,,4913,2420,676,12083,13532,Reform,PC,Lib
36,MB,66,"PROVENCHER",,,14595,3137,,5955,12798,Lib,Reform,PC
36,MB,67,"SAINT BONIFACE",,,18948,6663,171,4555,6658,Lib,NDP,Reform
36,MB,68,"SELKIRK--INTERLAKE",,,10871,10749,363,5730,10937,Reform,Lib,NDP
36,MB,69,"WINNIPEG CENTRE",,,9895,10979,436,2442,3095,NDP,Lib,Reform
36,MB,70,"WINNIPEG NORTH CENTRE",,,7801,13663,297,1742,3678,NDP,Lib,Reform
