election_id,prov_code,ed_id,ed_name,Bloc,Con,Grn,Lib,NDP,Other,1st,2nd,3rd
41,AB,48001,"Fort McMurray--Athabasca",,21988,1374,3190,4053,,Con,NDP,Lib
41,AB,48002,"Calgary East",,23372,2047,4102,4894,246,Con,NDP,Lib
41,AB,48003,"Calgary Centre-North",,28443,6578,7046,8048,203,Con,NDP,Lib
41,AB,48004,"Calgary Northeast",,23550,1953,11487,4262,206,Con,Lib,NDP
41,AB,48005,"Calgary--Nose Hill",,40384,3480,6501,7189,,Con,NDP,Lib
41,AB,48006,"Calgary Centre",,28401,4889,8631,7314,,Con,Lib,NDP
41,AB,48007,"Calgary Southeast",,48173,4079,4020,6482,418,Con,NDP,Grn
41,AB,48008,"Calgary Southwest",,42998,2991,4121,6823,303,Con,NDP,Lib
41,AB,48009,"Calgary West",,39996,6070,11374,6679,227,Con,Lib,NDP
41,AB,48010,"Crowfoot",,44115,1711,1224,4805,667,Con,NDP,Grn
41,AB,48011,"Edmonton--Mill Woods--Beaumont",,27857,1364,5066,10875,474,Con,NDP,Lib
41,AB,48012,"Edmonton Centre",,23625,1676,11037,12480,370,Con,NDP,Lib
41,AB,48013,"Edmonton East",,24111,1345,3176,17078,,Con,NDP,Lib
41,AB,48014,"Edmonton--Leduc",,37778,2896,7270,11488,,Con,NDP,Lib
41,AB,48015,"Edmonton--St. Albert",,34468,2409,5796,11644,,Con,NDP,Lib
41,AB,48016,"Edmonton--Sherwood Park",,24623,1926,4131,7971,16485,Con,Other,NDP
41,AB,48017,"Edmonton--Spruce Grove",,41782,2232,5483,9272,,Con,NDP,Lib
41,AB,48018,"Edmonton--Strathcona",,19762,1119,1372,26093,384,NDP,Con,Lib
41,AB,48019,"Lethbridge",,27173,2095,4030,13072,1716,Con,NDP,Lib
41,AB,48020,"Macleod",,40007,2389,1898,5335,2006,Con,NDP,Grn
41,AB,48021,"Medicine Hat",,30719,1868,4416,5616,317,Con,NDP,Lib
41,AB,48022,"Peace River",,36334,1702,1481,7740,704,Con,NDP,Grn
41,AB,48023,"Red Deer",,37959,2551,1918,7566,,Con,NDP,Grn
41,AB,48024,"Vegreville--Wainwright",,39145,2499,1525,5561,327,Con,NDP,Grn
41,AB,48025,"Westlock--St. Paul",,32652,1634,2569,5103,,Con,NDP,Lib
41,AB,48026,"Wetaskiwin",,37756,1978,1348,5281,,Con,NDP,Grn
41,AB,48027,"Wild Rose",,43669,4071,3908,6595,181,Con,NDP,Grn
41,AB,48028,"Yellowhead",,31925,2132,1190,5411,788,Con,NDP,Grn
41,BC,59001,"Abbotsford",,32493,2138,4968,10089,286,Con,NDP,Lib
41,BC,59002,"Burnaby--Douglas",,19932,1754,5451,20943,630,NDP,Con,Lib
41,BC,59003,"Burnaby--New Westminster",,16009,1731,4496,22193,254,NDP,Con,Lib
41,BC,59004,"Cariboo--Prince George",,24443,2702,2200,13135,1038,Con,NDP,Grn
41,BC,59005,"Chilliwack--Fraser Canyon",,28160,2706,5320,12691,353,Con,NDP,Lib
41,BC,59006,"Delta--Richmond East",,26059,2324,8112,11181,367,Con,NDP,Lib
41,BC,59007,"Pitt Meadows--Maple Ridge--Mission",,28803,2629,2739,18835,,Con,NDP,Lib
41,BC,59008,"Esquimalt--Juan de Fuca",,25792,5341,6439,26198,326,NDP,Con,Lib
41,BC,59009,"Fleetwood--Port Kells",,23950,1476,8041,16533,370,Con,NDP,Lib
41,BC,59010,"Kamloops--Thompson--Cariboo",,29682,2932,3026,20983,191,Con,NDP,Lib
41,BC,59011,"Kelowna--Lake Country",,34566,5265,7069,13322,,Con,NDP,Lib
41,BC,59012,"Kootenay--Columbia",,23910,2547,1496,14199,636,Con,NDP,Grn
41,BC,59013,"Langley",,35569,2943,4990,11277,353,Con,NDP,Lib
41,BC,59014,"Nanaimo--Alberni",,30469,4482,4984,25165,538,Con,NDP,Lib
41,BC,59015,"Nanaimo--Cowichan",,24497,5005,3007,31272,170,NDP,Con,Grn
41,BC,59016,"Newton--North Delta",,14437,1520,14510,15413,239,NDP,Lib,Con
41,BC,59017,"New Westminster--Coquitlam",,20776,2160,4069,23023,95,NDP,Con,Lib
41,BC,59018,"Okanagan--Shuswap",,31439,6058,4246,14955,,Con,NDP,Grn
