party_id,party_name,party_short_name,ideology_code,mainstream,first_election,last_election,num_candidates,also_known_as
1,AACEV Party of Canada,AACEV,Oth,f,39,39,1,"{""AACEV Party of Canada""}"
2,ATN,ATN,Oth,f,42,42,1,{ATN}
3,Abolitionist Party of Canada,Abolition,SglIss,f,35,35,80,"{""Abolitionist Party of Canada""}"
4,All Canadian Party,ACP,Oth,f,25,25,1,"{""All Canadian Party""}"
5,Animal Alliance/Environment Voters,AnimalAll,SglIss,f,40,42,22,"{""Animal Alliance/Environment Voters""}"
7,Animal Protection Party,AnimalPP,SglIss,f,43,43,17,"{""Animal Protection Party""}"
8,Anti-Communist,AntiCom,SglIss,f,18,22,2,{Anti-Communist}
9,Anti-Confederate,AntiConfed,SglIss,t,1,1,19,{Anti-Confederate}
10,Anti-Conscriptionist,AntiConscript,SglIss,f,19,19,1,{Anti-Conscriptionist}
12,Bloc Québécois,Bloc,Quebec,t,35,43,681,"{""Bloc Québécois""}"
13,Bloc populaire canadien,BlocPop,Pop,f,20,20,35,"{""Bloc populaire canadien""}"
14,CFF - Canada's Fourth Front,FourthFront,Oth,f,43,43,7,"{""CFF - Canada's Fourth Front""}"
15,Canada Party,CdaParty,Oth,f,35,42,57,"{""Canada Party""}"
16,Canadian Action Party,CAP,Pop,f,36,42,234,"{CAP,""Canadian Action"",""Canadian Action Party""}"
19,Canadian Alliance,CdnAll,Con,t,37,37,298,"{""Canadian Alliance""}"
20,Canadian Democrat,CdnDem,Oth,f,23,23,1,"{""Canadian Democrat""}"
21,Canadian Labour,CdnLab,Labour,f,19,19,1,"{""Canadian Labour""}"
23,Candidat libéral des électeurs,Electeurs,Oth,f,25,26,2,"{""Candidat libéral des électeurs""}"
24,Capital  familial,CapFam,Oth,f,23,25,3,"{""Capital  familial""}"
25,Christian Heritage Party,CHP,Con,f,34,43,455,"{""CHP Canada"",""Christian Heritage Party"",""Christian Heritage Party of Canada""}"
28,Christian Liberal,ChristLib,Oth,f,22,22,1,"{""Christian Liberal""}"
29,Co-operative Commonwealth Federation,CCF,Labour,t,17,34,1100,"{""Co-operative Commonwealth Federation""}"
31,Communist Party,Com,Labour,f,17,43,793,"{Communist,""Communist Party of Canada"",""Labour Progressive Party"",""United Progressive"",Unity}"
36,Confederation of Regions Western Party,RegionsW,Con,f,33,34,106,"{""Confederation of Regions Western Party""}"
37,Conservative,Con,Con,t,1,43,4552,{Conservative}
38,Conservative Party of Canada,ConParty,Con,t,38,38,308,"{""Conservative Party of Canada""}"
39,Cooperative Builders of Canada,Builder,Oth,f,25,25,1,"{""Cooperative Builders of Canada""}"
40,Democrat,Demo,Oth,f,20,20,5,{Democrat}
41,Democratic Advancement,DemoAdv,Oth,f,42,42,4,"{""Democratic Advancement""}"
42,Droit vital personnel,Droit,Oth,f,27,27,1,"{""Droit vital personnel""}"
43,Equal Rights,EqRights,Oth,f,7,7,2,"{""Equal Rights""}"
44,Esprit social,Esprit,Oth,f,28,28,1,"{""Esprit social""}"
46,First Peoples National Party,FPNP,SglIss,f,39,41,7,{FPNP}
47,Forces et Démocratie - Allier les forces de nos régions,ForcesDem,Oth,f,42,42,17,"{""Forces et Démocratie - Allier les forces de nos régions""}"
48,Franc Lib,FrancLib,Oth,f,17,28,2,"{""Franc Lib""}"
49,Government,Gov,Con,t,13,13,211,{Government}
50,Green Party,Grn,Env,t,33,43,2295,"{""Green Party"",""Green Party of Canada""}"
52,Independent,Ind,Oth,f,1,43,1906,"{Independent,""No Affiliation"",""No affiliation to a recognised party""}"
55,Independent Co-operative Commonwealth Federation,IndCCF,Labour,f,20,20,2,"{""Independent Co-operative Commonwealth Federation""}"
56,Independent Conservative,IndCon,Con,f,2,28,71,"{""Independent Conservative""}"
57,Independent Labor,IndLab,Labour,f,9,20,6,"{""Independent Labor""}"
58,Independent Liberal,IndLib,Lib,f,1,28,248,"{""Independent Liberal""}"
59,Independent Liberal Progressive,IndLibP,Lib,f,15,15,1,"{""Independent Liberal Progressive""}"
60,Independent Nationalist,IndNat,Pop,f,19,19,2,"{""Independent Nationalist""}"
61,Independent Progressive,IndProg,Labour,f,14,17,3,"{""Independent Progressive""}"
62,Independent Progressive Conservative,IndProgCon,Con,f,20,28,43,"{""Independent Progressive Conservative""}"
63,Independent Reconstruction Party,IndRecon,Oth,f,18,18,1,"{""Independent Reconstruction Party""}"
64,Independent Social Credit,IndSoCred,Pop,f,21,27,10,"{""Independent Social Credit""}"
